contract_id,vendor_id,item_name,negotiated_price,valid_from
C001960,V02900,Communities,888.12,2025-02-24
C001369,V03799,Channels,3717.1,2026-03-25
C004832,V02993,Convergence,3054.3,2024-07-30
C004317,V02067,Users,3520.68,2024-01-20
C003307,V04410,E-tailers,3561.33,2024-12-19
C003163,V00397,Infrastructures,1697.72,2024-10-14
C004637,V04094,Users,4239.84,2023-08-09
C000008,V02851,Partnerships,2446.23,08/02/2025
C002747,V00636,Methodologies,1471.48,2024-05-17
C002328,V04260,Infrastructures,4074.88,2024-05-17
C001534,V04908,Relationships,4931.69,2025-11-22
C002606,V02605,E-business,4751.77,2025-01-11
C000624,V00142,Networks,2403.19,2024-04-30
C003166,V01001,,2179.15,2026-04-06
C002688,V04827,E-services,2257.5,2024-01-01
C002469,V00999,Metrics,1249.98,2025-05-11
C001641,V01249,E-tailers,1295.71,2024-02-11
C004378,V04730,Info-mediaries,4254.55,2024-08-17
C003073,V04651,Services,1107.62,2023-09-07
C000059,V01377,Architectures,2293.76,2023-08-24
C002531,V02807,,2049.72,09/21/2024
C001108,V03354,Paradigms,861.04,2024-11-19
C004436,V01114,E-services,3050.73,2023-09-04
C003286,V00400,Systems,3568.02,2024-02-15
C002341,V03615,Info-mediaries,4892.72,2025-05-26
C000668,V00757,Metrics,3392.24,09/17/2023
C004955,V04442,Schemas,1285.74,2024-12-08
C002942,V01274,Bandwidth,4174.05,2023-09-07
C000344,V02245,Models,719.76,2025-08-23
C000863,V01239,E-services,4884.94,2025-04-17
C003862,V04594,Paradigms,216.29,2023-07-20
C002374,V00638,Infrastructures,1712.19,2025-08-05
C003528,V00708,Convergence,1184.98,2024-10-09
C002068,V01675,Methodologies,3591.84,2026-02-21
C001400,V04661,Solutions,-1585.11,2023-11-26
C003195,V03650,Services,1233.54,2025-02-14
C002297,V03181,Functionalities,31.58,2025-11-08
C003184,V00735,Niches,540.83,2024-11-01
C001550,V02448,E-services,16.53,2024-05-04
C004383,V01440,Networks,454.17,2024-08-24
C002886,V02312,Experiences,3941.33,02/06/2024
C001754,V01322,Niches,4034.87,2025-09-17
C003211,V02669,E-tailers,170.64,2026-04-08
C004562,V00810,Niches,4816.7,2025-01-08
C002894,V00546,Bandwidth,3017.35,2024-07-10
C004778,V00928,Metrics,2272.35,02/07/2024
C004273,V04376,E-services,1241.35,2025-09-01
C002882,V02442,Functionalities,391.75,2023-05-05
C000540,V01400,Metrics,1388.37,2024-05-18
C000368,V00738,Solutions,1301.22,2026-04-13
C000909,V04391,Users,4553.02,2024-09-24
C001717,V00118,Info-mediaries,2567.54,2023-09-25
C002805,V03530,Architectures,505.5,2023-09-27
C004497,V01434,Info-mediaries,1311.69,2025-12-21
C002128,V04936,Services,275.61,2024-07-11
C002162,V04299,Bandwidth,384.76,2025-04-22
C001233,V03991,Platforms,434.53,2025-04-26
C002736,V04200,Communities,764.73,2025-03-02
C003036,V02691,Schemas,4480.13,2024-02-02
C002204,V01370,Web-readiness,3197.97,2024-05-23
C001944,V02713,Metrics,1055.87,2023-06-03
C004041,V00771,Paradigms,2763.77,2024-01-25
C003017,V03650,Services,206.74,2025-09-18
C002979,V01681,Systems,101.24,2024-11-25
C001120,V01833,E-services,573.9,2025-11-22
C003095,V04677,Relationships,2572.03,2023-09-28
C000439,V02274,E-services,3884.86,2024-12-22
C003782,V02753,Schemas,3579.49,2024-05-15
C004285,V01926,Convergence,2110.46,2024-05-23
C004043,V01319,Platforms,3084.23,2023-10-25
C000001,V04273,Solutions,1745.93,04/25/2024
C002666,V00062,E-services,3066.21,2023-10-08
C001608,V03338,Solutions,2488.3,2024-06-23
C002576,V03836,Niches,2172.52,2025-06-07
C004564,V04125,E-services,-3077.59,2024-10-17
C000603,V01882,E-markets,3290.96,01/06/2026
C003059,V04845,Users,293.91,2023-11-18
C002091,V02831,Channels,3235.59,2024-01-09
C003374,V04729,E-tailers,4868.13,2023-11-14
C001373,V03294,E-services,2159.65,2026-01-02
C002181,V04299,Schemas,1361.77,2025-10-21
C001124,V04490,Channels,4586.99,2024-05-05
C000459,V03015,Niches,479.78,2023-09-02
C000386,V04133,Action-items,386.83,2024-08-13
C003671,V03257,Solutions,3476.73,2025-08-20
C004708,V00655,Models,897.9,2025-04-21
C001327,V01585,Convergence,1543.58,2024-11-16
C004072,V01954,Web-readiness,903.54,2025-07-25
C003033,V03107,Schemas,4361.21,2025-07-06
C000498,V00563,Web-readiness,2427.52,2025-08-26
C001074,V04045,Methodologies,2832.17,2025-07-22
C000533,V02416,Markets,2001.52,2023-07-27
C000548,V04535,Experiences,1137.39,2025-01-30
C002421,V00207,E-services,2859.11,2024-08-17
C002731,V04597,E-services,2250.02,2025-12-28
C000573,V01525,Architectures,1908.87,09/12/2024
C004685,V02303,E-tailers,2704.31,2023-12-18
C000818,V02676,Markets,1512.96,2025-02-01
C004247,V01964,E-tailers,4584.63,2023-07-03
C001677,V02766,Web-readiness,210.34,2026-02-27
C000613,V04636,Channels,3938.59,2025-09-06
C000640,V00790,Paradigms,3334.86,2025-02-20
C001388,V00192,Roi,1972.47,2023-08-04
C003148,V00865,Relationships,1619.4,2026-03-23
