vendor_id,vendor_name,region,risk_rating
V04649,Dixon-Hughes,LATAM,Medium
V04163,Hansen PLC,EMEA,High
V03664,"Klein, Chavez and Lane",APAC,Medium
V03444,Perez-Harmon,APAC,High
V02551,Taylor Inc,LATAM,Low
V04027,Hernandez-Foley,APAC,High
V01135,Green-Carter,APAC,High
V02755,Green Group,LATAM,High
V02687,Kerr-Gonzalez,EMEA,Medium
V02107,   beltran inc  ,AMER,
V02074,"Mayer, Palmer and Miranda",AMER,Medium
V01734,"Brown, Meyer and Cunningham",AMER,Medium
V00475,Blake Group,LATAM,Low
V04542,Mckinney-Higgins,LATAM,Medium
V01879,"Mayer, Fowler and Livingston",EMEA,Medium
V03656,"Chapman, Myers and Decker",APAC,
V02248,Jackson-Bradley,LATAM,Medium
V04192,Lara-Baker,EMEA,High
V04263,Rodgers-Warren,LATAM,Low
V01853,May Inc,APAC,Medium
V00622,Morris-Brewer,EMEA,Medium
V00972,Foster-Williams,LATAM,High
V04094,Rios-Robertson,LATAM,
V00176,King-Miller,APAC,Low
V00452,Stanley PLC,LATAM,High
V03403,Garcia Inc,EMEA,Medium
V00152,"Simmons, Meadows and Griffin",AMER,Medium
V02950,Hammond LLC,EMEA,High
V02088,Collins-Cox,AMER,High
V03814,Hughes-Nicholson,AMER,
V02450,Fitzgerald-Brewer,APAC,Low
V04481,Schneider LLC,AMER,Low
V00714,   hudson-sanchez  ,AMER,High
V02314,Austin-Hamilton,APAC,Low
V02516,Lee-Gregory,LATAM,
V01208,Walton LLC,EMEA,Medium
V02497,Chambers Group,LATAM,Low
V03813,Simmons LLC,AMER,Medium
V00701,Turner-Stout,AMER,Low
V01532,"Robinson, Rodriguez and Chen",AMER,Low
V04570,Watts-Travis,EMEA,Low
V03688,"Santos, Thomas and Mills",AMER,Low
V02325,Mack Inc,EMEA,Low
V04237,Aguirre LLC,EMEA,Medium
V02188,"Cannon, Richard and Jenkins",LATAM,High
V00364,"Kelley, Nguyen and Vang",AMER,High
