year,month,monthly_spend
2024,4,173508970.78
2024,5,242618538.6799999
2024,6,215148973.10999998
2024,7,264410882.85999992
2024,8,256378375.14999983
2024,9,220651591.00000012
2024,10,252655681.54999992
2024,11,247122243.18000007
2024,12,247337891.33999997
2025,1,265857251.41000006
2025,2,221818065.34999996
2025,3,274456180.9499999
2025,4,233624172.54999995
2025,5,208716248.73000005
2025,6,285702958.57000005
2025,7,302778952.52999985
2025,8,270545476.24
2025,9,179783703.4400001
2025,10,252350282.61000007
2025,11,228846734.82999992
2025,12,240274556.64000005
2026,1,280944448.06999993
2026,2,275290253.98999995
2026,3,235198780.71999997
2026,4,140920126.64
