vendor_id,vendor_name,total_price_variance
V01475,Edwards Ltd,22955329.75
V02338,"Leonard, Ballard and Miller",18354878.760000005
V02183,"Hayden, Harmon and Mcdonald",17707514.88
V01123,Guerrero-Becker,16067003.89
V04008,Mcdonald-Murray,15039330.880000003
V04274,Moore PLC,14547691.989999998
V01774,Callahan PLC,14459809.549999999
V00066,Morton-Chase,14265902.17
V00748,Goodwin Ltd,13010015.870000001
V04995,"Huang, Hall and Delacruz",12175775.13
V04870,Benjamin LLC,12151747.24
V00162,Stein-Silva,11841261.3
V02695,Rodriguez LLC,11285187.379999999
V02593,Romero Ltd,10518763.84
V03294,Murphy-Salazar,10438871.45
V02184,"Patel, Mendez and Hammond",10418345.0
V02471,Williams and Sons,9841183.06
V01855,Turner-Reese,9357123.11
V04175,"Phillips, Castro and Thompson",9299622.060000002
V00400,Duran LLC,9242478.499999998
V01275,"Robinson, White and Jones",8736678.39
V02557,"Sandoval, Thomas and Young",8730162.340000002
V00383,"Austin, Day and Johnson",8625394.3
V02986,Williams Inc,8515945.24
V02497,Chambers Group,8446715.399999999
V04508,Long-Santos,8297829.34
V01882,Ramirez Inc,8009336.960000001
V03187,"Gray, Bailey and Farley",7918593.64
V01733,"Huang, Ford and Olsen",7911158.35
V00342,"Winters, Newman and Brown",7889740.680000001
V03780,Martin-Payne,7841232.35
V01564,Owen-Brown,7775386.499999998
V02907,"Grimes, Arnold and Lawson",7731659.25
V01811,"Cruz, Middleton and Larsen",7523725.300000001
V02664,"Barrera, Kerr and Jenkins",7515599.470000001
V04731,"Li, Mason and Jacobson",7515396.4
V00992,Ramirez and Sons,7491321.16
V02272,"Hamilton, Green and Edwards",7382488.29
V03943,"Johnson, Sims and Crane",7312705.56
V04101,Martinez Ltd,7291282.96
V04801,Briggs-Moore,7283855.720000001
V01764,Austin-Morgan,7268038.94
V04092,"Sullivan, Haney and Chavez",7253819.51
V02935,palmer inc,7188901.0600000005
V03729,Shaw-Smith,7160585.86
V00189,Garcia LLC,7149451.98
V04530,turner llc,7060802.84
V04679,"Henderson, Williams and Keller",7037602.6
V02408,"Campbell, Davis and Arnold",6935118.34
V00923,Parker Ltd,6926974.770000001
V03925,Marquez-Nunez,6869424.479999999
V02279,"Yates, Brown and Hernandez",6865666.08
V02660,Hale Inc,6819592.000000002
V03915,Pope and Sons,6671060.4799999995
V02491,"Bernard, Flores and Fleming",6663169.4799999995
V00169,"Yates, Ramsey and Pittman",6605023.32
V01010,Weaver-Thompson,6514248.0
V01258,"Price, Dixon and Robles",6472719.0600000005
V01495,"Ferguson, Stout and Olson",6466409.46
V03427,Bennett-Ruiz,6461816.5
V00977,Anderson Group,6448277.58
V01821,Lane Ltd,6296782.83
V02387,Mitchell-Jackson,6291876.5600000005
V00886,Wheeler PLC,6286822.319999999
V01719,"Gomez, Anderson and Hart",6230119.46
V00599,Hoffman Ltd,6138570.529999999
V00463,"Taylor, Wright and Davidson",6091460.43
V04570,Watts-Travis,6086831.4799999995
V03471,Clay Group,6079135.35
V04270,Mccullough Inc,6054138.199999999
V04224,Davis-Green,6006129.91
V01583,Smith-Joyce,5934705.7700000005
V00516,Osborne LLC,5932782.360000001
V04501,"Johnson, Perez and Henry",5860131.81
V01108,Byrd LLC,5837378.4
V03265,Flores Inc,5818609.790000001
V02883,"Garcia, Weiss and Young",5814893.010000001
V04143,"Huff, Bird and Miller",5686210.66
V02816,"Burch, Kim and Hall",5679073.47
V03973,Flores-Moreno,5678101.470000001
V03342,"Mooney, Conley and Fox",5648373.58
V04326,"Gomez, Mcmahon and Fisher",5589913.700000001
V04955,Rodriguez-Clark,5588565.220000001
V03692,"Cortez, Phelps and Taylor",5547213.0
V04943,"Price, Bryan and Carter",5511284.220000001
V01975,Quinn-Gordon,5427637.64
V01095,Jones Ltd,5416500.0
V04618,Hudson Ltd,5393184.37
V04517,Robinson and Sons,5357927.25
V02508,Coffey-Johnson,5304594.6899999995
V01888,Mendez Inc,5249655.359999999
V04733,Bradford and Sons,5237295.26
V02835,"Michael, Walker and Fitzgerald",5206272.3
V04594,Allen-Riggs,5146999.320000001
