vendor_id,vendor_name,risk_category
V00001,"Rodriguez, Figueroa and Sanchez",Low
V00002,Doyle Ltd,High
V00003,"Mcclain, Miller and Henderson",High
V00004,Davis and Sons,Low
V00005,"Guzman, Hoffman and Baldwin",High
V00006,"Gardner, Robinson and Lawrence",Medium
V00007,Blake and Sons,Low
V00008,"Henderson, Ramirez and Lewis",Low
V00009,Garcia-James,Medium
V00010,Abbott-Munoz,Low
V00011,Blair PLC,Low
V00012,Dudley Group,High
V00013,Arnold Ltd,Medium
V00014,"Mcclure, Ward and Lee",Medium
V00015,Williams and Sons,Low
V00016,Galloway-Wyatt,High
V00017,James Group,High
V00018,"Flowers, Martin and Kelly",Medium
V00019,"Adams, Zuniga and Wong",High
V00020,"Reid, Ferguson and Sanchez",Low
V00021,Gray-Mayo,Medium
V00022,"Watts, Robinson and Nguyen",Low
V00023,Perez Inc,Low
V00024,Morales-Jones,High
V00025,"Walter, Edwards and Rios",Medium
V00026,Wilkerson-Day,Low
V00027,Baker and Sons,High
V00028,"Hoffman, Baker and Richards",Medium
V00029,"ross, robinson and bright",High
V00030,"Snyder, Campos and Callahan",High
V00031,Burton Ltd,Low
V00032,Carlson-Cruz,High
V00033,"Ferrell, Rice and Maddox",High
V00034,Frazier Inc,High
V00035,"Dyer, Potter and Mack",Low
V00036,rodriguez-graham,High
V00037,Smith-Bowen,Medium
V00038,"Baker, Mason and White",Low
V00039,Harrell LLC,Low
V00040,"Romero, Gonzalez and Brooks",Medium
V00041,Ryan PLC,High
V00042,George Group,Medium
V00043,Rodriguez LLC,High
V00044,Allen-Allen,
V00045,"Arroyo, Miller and Tucker",Low
V00046,Spence PLC,Low
V00047,Anderson Group,High
V00048,"Martin, Rose and Obrien",High
V00049,Hickman Ltd,Low
V00050,"Harris, Collins and Carney",Low
V00051,"Brooks, Lam and Hayes",Medium
V00052,Walker LLC,Low
V00053,Chapman and Sons,Low
V00054,"Robinson, Jones and Welch",Medium
V00055,Jones Inc,Medium
V00056,Jones-Young,Low
V00057,"Washington, Ryan and Cummings",Low
V00058,"Johnston, Sanchez and Kennedy",Medium
V00059,lee-davis,Low
V00060,Gomez-Jenkins,Medium
V00061,"Brown, Valdez and Lucas",Medium
V00062,Powell LLC,Low
V00063,Wright and Sons,High
V00064,"West, Henderson and Ramirez",Low
V00065,Baxter Inc,Low
V00066,Morton-Chase,Low
V00067,Williams PLC,Medium
V00068,Novak and Sons,High
V00069,Russell Group,High
V00070,Hancock Inc,Low
V00071,Gray Group,Medium
V00072,House-Glover,Medium
V00073,Henderson-Bernard,Medium
V00074,"Stanley, Tucker and Lee",Low
V00075,Novak PLC,Medium
V00076,"Daniels, Adkins and Brown",Medium
V00077,"Woods, Calhoun and Schmidt",High
V00078,Yu Inc,High
V00079,Jones Inc,Low
V00080,"Hensley, Powell and David",Medium
V00081,"Sanchez, Wheeler and Harvey",Low
V00082,Sandoval-Cunningham,Medium
V00083,Donovan-Harris,High
V00084,"Edwards, Baker and Anderson",Medium
V00085,"Evans, Stewart and Walton",Low
V00086,Smith PLC,
V00087,"Ferrell, Jones and Lewis",
V00088,Anderson-Bailey,Medium
V00089,Suarez LLC,Medium
V00090,Moore-Bass,Medium
V00091,"Turner, Riggs and Roman",High
V00092,"Smith, Montoya and Evans",Low
V00093,"Garcia, Humphrey and Baker",Low
V00094,Newton and Sons,High
V00095,Campbell-Clark,Low
V00096,Harris-Walters,Medium
V00097,Wagner-King,Medium
V00098,Davis Group,
V00099,Williams-Cook,Medium
V00100,Walsh LLC,Medium
V00101,Figueroa PLC,Low
V00102,"Patterson, Smith and Jones",High
V00103,"Mckee, Gardner and Davenport",High
V00104,"Tran, Jordan and Williams",Medium
V00105,Nolan-Flynn,High
V00106,Nolan and Sons,Low
V00107,"Wright, Garcia and Deleon",Medium
V00108,Dickson-Brady,High
V00109,Hancock and Sons,High
V00110,Johnson-Doyle,High
V00111,Patton-Jenkins,High
V00112,"Shields, Cochran and Adams",High
V00113,"Rodriguez, Brennan and Garrison",Medium
V00114,Gonzalez Group,Medium
V00115,Torres-Pope,High
V00116,Walker Ltd,Low
V00117,Ross LLC,Low
V00118,Rasmussen LLC,Low
V00119,May-Ross,Medium
V00120,"Rivera, Johnson and Wiley",High
V00121,white-estes,Low
V00122,Johnson-Carlson,Medium
V00123,Chandler-Edwards,Low
V00124,"Joyce, Wilson and Lam",Medium
V00125,Scott Ltd,Medium
V00126,Smith-Frost,High
V00127,"Mcdaniel, Bentley and Mclaughlin",Medium
V00128,Diaz Inc,High
V00129,"Mccall, Hanson and Alvarado",Low
V00130,Cortez LLC,Medium
V00131,"Parker, Ortiz and Powell",Low
V00132,Spencer-Lee,Low
V00133,"Bentley, Byrd and Orr",Medium
V00134,"carroll, sullivan and bass",High
V00135,Mitchell-Jordan,
V00136,"Lawson, Morris and Ramos",Medium
V00137,"Lewis, Kennedy and Santana",Medium
V00138,"Jackson, Miller and Robertson",Medium
V00139,"Harvey, Davis and Crane",High
V00140,Chambers and Sons,High
V00141,Hernandez Inc,Low
V00142,Riggs PLC,Low
V00143,Gibson Ltd,Medium
V00144,"Lee, Horton and Snyder",Medium
V00145,Hernandez Ltd,Low
V00146,Stafford Inc,Medium
V00147,Robinson-Brock,Low
V00148,"Holmes, Williams and Wright",High
V00149,Bryant Group,High
V00150,"Schmidt, Hansen and Stewart",Medium
V00151,Salazar-Ball,Low
V00152,"Simmons, Meadows and Griffin",Medium
V00153,Manning Group,Medium
V00154,Green-Wright,Low
V00155,"Ramirez, Strickland and Washington",High
V00156,Hill Inc,High
V00157,"Mitchell, Nelson and Flores",Low
V00158,"Miller, Hernandez and Reyes",Medium
V00159,Mccarthy Inc,High
V00160,Russell-Daniels,High
V00161,Brown-Wall,Medium
V00162,Stein-Silva,Medium
V00163,"Smith, Gilmore and Johnston",Medium
V00164,Smith-Bell,High
V00165,Castaneda-Ashley,Medium
V00166,Medina-Navarro,Medium
V00167,"Hurst, Freeman and Nelson",
V00168,Johnson-Rogers,Low
V00169,"Yates, Ramsey and Pittman",High
V00170,Hooper PLC,Low
V00171,Meadows PLC,Medium
V00172,"Alvarado, Miller and Patterson",Medium
V00173,White-Green,High
V00174,Lewis-Murphy,Low
V00175,Ramirez-Bean,Low
V00176,King-Miller,Low
V00177,Curry Inc,Low
V00178,Walker-Jones,
V00179,"Williams, Johnson and Wright",High
V00180,Howell and Sons,Low
V00181,Wells Inc,Medium
V00182,"Gould, Marshall and Scott",Medium
V00183,Jackson-Lawson,Medium
V00184,"Higgins, Strickland and Martin",Low
V00185,Rodriguez-Johnson,Low
V00186,Johnston-Odonnell,High
V00187,Sanders-Espinoza,Medium
V00188,Vargas Ltd,Medium
V00189,Garcia LLC,Low
V00190,"Burke, Martinez and Riggs",Low
V00191,Reed Group,Low
V00192,"Wood, Hunter and Peterson",
V00193,Short-Garcia,High
V00194,Reid-Poole,Medium
V00195,"Hernandez, Thompson and Boyd",Medium
V00196,"Nelson, Morton and Medina",Medium
V00197,Marshall-Petersen,Medium
V00198,"Adams, Christian and Rivas",Medium
V00199,Ramirez Group,Medium
V00200,Christensen PLC,
V00201,"Barnett, Rogers and Snyder",High
V00202,White-Lewis,High
V00203,Peterson-Beard,Medium
V00204,"Beard, Peters and Black",Low
V00205,Miller Ltd,Low
V00206,Freeman-Chang,High
V00207,"Alvarez, Joseph and West",High
V00208,Davis and Sons,
V00209,Holt-Torres,Medium
V00210,"Wood, Tran and Cooper",High
V00211,"Pierce, Bell and Chavez",Low
V00212,King-Martinez,High
V00213,Stewart Ltd,High
V00214,"Tapia, Vaughn and Lee",
V00215,"Washington, Hardy and Bray",High
V00216,"Carlson, Hooper and Wall",Low
V00217,Perez-White,Medium
V00218,Erickson and Sons,Medium
V00219,Williams-Brown,Medium
V00220,Terry-Martinez,Medium
V00221,Garcia-Smith,Low
V00222,Harrison-Alexander,Medium
V00223,Sheppard LLC,Medium
V00224,Wilson-Jones,Low
V00225,Jones-Soto,High
V00226,Hernandez PLC,Low
V00227,Miller-Wright,Low
V00228,"Duran, Obrien and Gibbs",High
V00229,Rowe Group,Medium
V00230,Kerr-Evans,Medium
V00231,"Branch, Torres and Oliver",Low
V00232,"Choi, Garcia and Farmer",Low
V00233,"Clark, Guerrero and Moore",Low
V00234,Arnold and Sons,High
V00235,Ortiz Ltd,High
V00236,"Harrison, Johnson and Roberts",High
V00237,Warner-Gibson,High
V00238,"Hall, Baker and Moody",Low
V00239,"Guerrero, Peck and Coleman",High
V00240,"Walker, Hernandez and Baker",High
V00241,Jones and Sons,Low
V00242,Larson-Holloway,Low
V00243,Gonzales-Harrison,Low
V00244,Lyons-Bender,High
V00245,"Fernandez, Kim and George",Low
V00246,Navarro-Munoz,
V00247,Davis Ltd,High
V00248,"Matthews, Smith and Hubbard",High
V00249,Johnston-Hines,Medium
V00250,Ruiz Ltd,Medium
V00251,Moon-White,High
V00252,"graham, olsen and costa",High
V00253,Bailey-Cook,High
V00254,"Garcia, Martin and Jenkins",Low
V00255,Roberts-Landry,High
V00256,"Johnson, Miller and King",High
V00257,Cordova Group,Medium
V00258,"Bryan, Smith and Booth",High
V00259,Gutierrez-Lopez,High
V00260,Dean-Jimenez,High
V00261,Wolf-Harris,Medium
V00262,"Anderson, Roberts and Gilmore",High
V00263,Martinez-Dudley,Low
V00264,"Lloyd, Mckinney and Collins",High
V00265,Tran Inc,Medium
V00266,Gay Inc,High
V00267,Valentine-Holland,Low
V00268,Jimenez Ltd,High
V00269,Hicks-Hill,High
V00270,Baird-Sanchez,Low
V00271,"Thomas, Lee and Greene",Low
V00272,"Suarez, Shields and Hill",Medium
V00273,Morgan-French,High
V00274,Hoover-Campbell,High
V00275,Monroe-Carpenter,
V00276,"Burns, Hernandez and Ryan",Medium
V00277,Cook-Hines,High
V00278,Gibson-Morris,Low
V00279,Pollard and Sons,Medium
V00280,"Reyes, Chase and Jenkins",Low
V00281,Garner-Thornton,High
V00282,Hughes-Alvarado,High
V00283,"Pollard, Simpson and Johnson",Low
V00284,"Sanford, Rivera and Garcia",Low
V00285,Garcia-Lozano,Low
