vendor_id,vendor_name,total_spend
V04381,Price-Dominguez,25620410.08
V01160,Perez Ltd,22728855.189999998
V01817,English-Dominguez,21949849.949999996
V01347,Keith-Williams,21413345.909999996
V00400,Duran LLC,20661464.990000002
V02660,Hale Inc,20003667.98
V03780,Martin-Payne,19710230.83
V04456,elliott-zamora,19397290.98
V04639,Goodman and Sons,17820406.27
V00162,Stein-Silva,17383200.650000002
V04719,Chavez-Carter,17377955.27
V04269,Williams Group,17013457.11
V02986,Williams Inc,16380993.61
V04995,"Huang, Hall and Delacruz",16379270.02
V04584,"Mendez, Williams and Henry",15916217.219999999
V02079,Smith PLC,15855808.68
V01059,Elliott-Hernandez,15646561.8
V02884,Thomas and Sons,15437727.930000002
V01135,Green-Carter,15101627.839999998
V02272,"Hamilton, Green and Edwards",14965195.99
V00383,"Austin, Day and Johnson",14958497.870000001
V02855,Turner-Carlson,14848839.33
V04274,Moore PLC,14634544.049999999
V00198,"Adams, Christian and Rivas",14567298.889999997
V03873,Foster and Sons,14503779.42
V04259,Stevenson-Ferguson,14419298.15
V01564,Owen-Brown,14276896.250000002
V01811,"Cruz, Middleton and Larsen",14097852.160000002
V00757,Kelly Group,13758891.660000002
V00886,Wheeler PLC,13740787.440000001
V04998,Higgins-Walker,13719683.339999998
V01123,Guerrero-Becker,13609723.539999997
V03294,Murphy-Salazar,13440187.19
V04570,Watts-Travis,13311203.6
V02816,"Burch, Kim and Hall",12971396.559999999
V03052,Perez Group,12908564.600000001
V04057,"Moore, Neal and Farmer",12856489.43
V02801,"Lee, Thomas and Meyer",12749985.959999999
V01114,Stevens-Robinson,12744032.4
V03224,"Knapp, Miller and Reyes",12740912.98
V01882,Ramirez Inc,12550331.08
V01475,Edwards Ltd,12509927.95
V01058,Marshall-Perez,12497056.079999998
V01703,Thomas Inc,12412718.54
V01681,"Payne, Long and Morris",12403326.08
V04851,Johnson-Smith,12355232.96
V04251,"Day, Campbell and Taylor",12284703.059999999
V05000,Scott PLC,12194379.54
V00694,Faulkner-Grant,12149671.5
V02184,"Patel, Mendez and Hammond",12141435.049999999
V01070,Henderson Ltd,12122769.759999998
V01583,Smith-Joyce,12062507.690000001
V02557,"Sandoval, Thomas and Young",12012023.530000001
V04594,Allen-Riggs,12010801.270000001
V01603,Duncan-Williams,12010628.6
V04870,Benjamin LLC,11961388.680000002
V04490,Olsen Group,11960103.52
V04001,Sawyer PLC,11935936.9
V02898,Sutton Group,11929384.64
V00066,Morton-Chase,11846474.02
V02695,Rodriguez LLC,11805590.78
V04258,"Adkins, Duncan and Thompson",11797451.74
V04677,Dunn LLC,11789180.15
V03187,"Gray, Bailey and Farley",11757105.520000001
V02981,Rogers Group,11648999.780000001
V00597,Salas-Fitzgerald,11639346.52
V02222,"Martinez, Camacho and Mathews",11638552.15
V02110,Nunez-Rodriguez,11590160.67
V04101,Martinez Ltd,11535114.46
V04008,Mcdonald-Murray,11529406.74
V04618,Hudson Ltd,11459700.94
V00436,Cox LLC,11328256.72
V02911,Woods-Anderson,11322563.64
V04329,"Ross, Cummings and Harris",11291346.06
V03650,Johnson Ltd,11257277.76
V01622,Singh and Sons,11141342.75
V02082,Moore and Sons,11140410.0
V02080,Watson-Washington,11095277.77
V02471,Williams and Sons,11042081.14
V03638,"Rivera, Jacobs and Smith",11003474.17
V00189,Garcia LLC,10798125.9
V00381,"Richardson, Farmer and Andrews",10774437.870000001
V01335,"Kennedy, Rowe and Diaz",10729244.379999999
V02497,Chambers Group,10701533.639999999
