invoice_id,po_id,invoiced_price_per_unit,invoice_timestamp,ingestion_timestamp
INV00000238,PO0000108,4284.73,2026-02-06 22:25:46.000000,2026-08-12 21:45:25.315550
INV00000267,PO0002012,2872.58,2025-11-23 08:49:32.000000,2026-08-12 21:45:25.315550
INV00000646,PO0004082,86.63,2025-05-15 15:37:07.000000,2026-08-12 21:45:25.315550
INV00001379,PO0002603,1450.19,2024-08-23 07:56:07.000000,2026-08-12 21:45:25.315550
INV00001669,PO0004233,623.86,2025-03-03 12:47:30.000000,2026-08-12 21:45:25.315550
INV00001796,PO0002235,2235.97,2025-04-28 11:41:51.096923,2026-08-12 21:45:25.315550
INV00001841,PO0003214,1829.79,2024-07-11 08:42:50.000000,2026-08-12 21:45:25.315550
INV00002167,PO0004119,5001.02,2025-08-27 10:08:22.000000,2026-08-12 21:45:25.315550
INV00002765,PO0004627,362.95,2025-04-18 00:47:48.000000,2026-08-12 21:45:25.315550
INV00003155,PO0001396,1831.85,2026-05-01 10:21:39.000000,2026-08-12 21:45:25.315550
INV00003373,PO0000013,4184.08,2025-08-17 01:31:22.000000,2026-08-12 21:45:25.315550
INV00003455,PO0002862,2022.56,2026-01-22 07:02:03.000000,2026-08-12 21:45:25.315550
INV00003562,PO0001193,3815.65,2025-08-01 11:59:14.000000,2026-08-12 21:45:25.315550
INV00003675,PO0003689,4173.65,2026-03-29 06:46:04.000000,2026-08-12 21:45:25.315550
INV00003849,PO0004432,2436.26,2024-12-24 23:14:05.000000,2026-08-12 21:45:25.315550
INV00004027,PO0004276,4332.33,2025-04-27 03:48:21.000000,2026-08-12 21:45:25.315550
INV00004205,PO0000708,4650.84,2024-06-28 21:15:41.000000,2026-08-12 21:45:25.315550
INV00004787,PO0004370,1742.34,2025-12-11 16:02:52.000000,2026-08-12 21:45:25.315550
INV00000245,PO0001865,3872.55,2024-07-28 04:58:54.000000,2026-08-12 21:45:25.315550
INV00000434,PO0000696,4667.91,2024-05-08 11:08:18.000000,2026-08-12 21:45:25.315550
INV00000465,PO0001055,4754.41,2024-09-12 05:21:54.000000,2026-08-12 21:45:25.315550
INV00000589,PO0001651,1744.11,2025-07-26 18:29:08.000000,2026-08-12 21:45:25.315550
INV00000659,PO0004444,2238.41,2026-01-05 13:17:52.000000,2026-08-12 21:45:25.315550
INV00000873,PO0002127,869.57,2026-01-07 16:31:37.000000,2026-08-12 21:45:25.315550
INV00001318,PO0002289,536.75,2025-05-09 11:41:51.095433,2026-08-12 21:45:25.315550
INV00002409,PO0003193,4083.97,2024-06-06 07:50:07.000000,2026-08-12 21:45:25.315550
INV00002446,PO0002169,5474.86,2024-12-12 02:35:42.000000,2026-08-12 21:45:25.315550
INV00002639,PO0002686,5343.92,2025-02-28 15:28:27.000000,2026-08-12 21:45:25.315550
INV00002784,PO0002876,1185.49,2025-01-04 13:40:35.000000,2026-08-12 21:45:25.315550
INV00002883,PO0000441,638.71,2026-05-14 05:04:17.000000,2026-08-12 21:45:25.315550
INV00003343,PO0002270,4351.04,2026-04-17 04:35:01.000000,2026-08-12 21:45:25.315550
INV00003354,PO0001102,4967.55,2025-01-28 23:27:08.000000,2026-08-12 21:45:25.315550
INV00003381,PO0003921,4554.7,2025-04-04 20:27:56.000000,2026-08-12 21:45:25.315550
INV00003584,PO0000827,508.68,2024-12-19 00:03:00.000000,2026-08-12 21:45:25.315550
INV00003848,PO0003019,246.62,2025-08-06 01:34:48.000000,2026-08-12 21:45:25.315550
INV00003854,PO0001983,4129.06,2025-11-17 00:53:39.000000,2026-08-12 21:45:25.315550
INV00003983,PO0004995,2833.62,2025-04-23 11:41:51.101047,2026-08-12 21:45:25.315550
INV00004038,PO0003519,1768.88,2024-07-02 19:05:06.000000,2026-08-12 21:45:25.315550
INV00004158,PO0002932,1010.12,2024-05-19 06:21:41.000000,2026-08-12 21:45:25.315550
INV00004258,PO0000791,5056.94,2024-08-20 09:24:36.000000,2026-08-12 21:45:25.315550
INV00004300,PO0004471,2787.19,2025-06-18 12:22:16.000000,2026-08-12 21:45:25.315550
INV00004491,PO0000129,2031.15,2025-06-28 04:25:04.000000,2026-08-12 21:45:25.315550
INV00004599,PO0001593,632.95,2025-08-28 13:14:42.000000,2026-08-12 21:45:25.315550
INV00004746,PO0004285,3967.65,2024-06-06 08:09:44.000000,2026-08-12 21:45:25.315550
INV00000409,PO0002939,4992.33,2024-07-26 17:02:53.000000,2026-08-12 21:45:25.315550
INV00000504,PO0004630,2804.91,2025-03-17 23:07:52.000000,2026-08-12 21:45:25.315550
INV00001580,PO0002786,1110.22,2024-08-22 03:35:22.000000,2026-08-12 21:45:25.315550
INV00001661,PO0001391,103.2,2025-04-18 23:19:54.000000,2026-08-12 21:45:25.315550
INV00001688,PO0004942,4991.33,2024-12-06 17:42:33.000000,2026-08-12 21:45:25.315550
INV00001724,PO0003396,4801.56,2024-09-02 13:47:14.000000,2026-08-12 21:45:25.315550
INV00001931,PO0002020,1394.54,2025-04-23 11:41:51.097427,2026-08-12 21:45:25.315550
INV00002562,PO0002723,2771.65,2026-03-17 19:47:22.000000,2026-08-12 21:45:25.315550
INV00002712,PO0000937,1751.29,2025-05-21 21:37:17.000000,2026-08-12 21:45:25.315550
INV00002904,PO0001231,4534.78,2024-06-26 20:17:32.000000,2026-08-12 21:45:25.315550
INV00003086,PO0001826,4918.43,2024-09-30 15:50:26.000000,2026-08-12 21:45:25.315550
INV00003146,PO0002567,70.02,2025-10-19 07:40:35.000000,2026-08-12 21:45:25.315550
INV00003299,PO0004409,4182.45,2025-06-24 09:02:16.000000,2026-08-12 21:45:25.315550
INV00004268,PO0002993,4667.12,2024-09-29 00:54:41.000000,2026-08-12 21:45:25.315550
INV00004384,PO0002587,3470.09,2024-06-17 06:10:22.000000,2026-08-12 21:45:25.315550
INV00004566,PO0000858,3231.58,2024-05-30 16:16:04.000000,2026-08-12 21:45:25.315550
INV00000115,PO0000890,2693.71,2026-02-26 01:58:52.000000,2026-08-12 21:45:25.315550
