po_id,vendor_id,item_name,quantity_requested,po_timestamp,ingestion_timestamp
PO0000001,V00637,E-markets,487,2025-04-08 15:51:30,2026-08-12 21:41:41.391515
PO0000002,V01075,Channels,326,2025-05-21 20:44:55,2026-08-12 21:41:41.391515
PO0000003,V03667,Models,24,2024-05-20 14:26:10,2026-08-12 21:41:41.391515
PO0000004,V01296,Architectures,756,2024-10-18 02:03:33,2026-08-12 21:41:41.391515
PO0000005,V04012,Bandwidth,554,2025-10-11 07:07:53,2026-08-12 21:41:41.391515
PO0000006,V01322,E-services,952,2025-01-12 06:18:23,2026-08-12 21:41:41.391515
PO0000007,V00343,Bandwidth,998,2025-10-04 16:08:18,2026-08-12 21:41:41.391515
PO0000008,V00673,E-tailers,154,2025-06-21 09:05:46,2026-08-12 21:41:41.391515
PO0000009,V02350,E-markets,837,2025-03-07 01:38:58,2026-08-12 21:41:41.391515
PO0000010,V03484,Niches,551,2026-01-05 02:07:51,2026-08-12 21:41:41.391515
PO0000012,V01871,Metrics,334,2025-11-15 21:59:25,2026-08-12 21:41:41.391515
PO0000013,V04322,E-markets,955,2025-08-08 01:31:22,2026-08-12 21:41:41.391515
PO0000014,V04592,Architectures,650,2024-05-26 20:10:55,2026-08-12 21:41:41.391515
PO0000015,V03442,Paradigms,497,2025-09-20 02:36:20,2026-08-12 21:41:41.391515
PO0000016,V04943,Platforms,534,2026-03-30 17:49:16,2026-08-12 21:41:41.391515
PO0000017,V04803,Relationships,270,2026-03-10 22:55:32,2026-08-12 21:41:41.391515
PO0000018,V01212,Users,524,2026-03-17 03:09:52,2026-08-12 21:41:41.391515
PO0000019,V04033,Users,-764,2024-06-14 10:24:19,2026-08-12 21:41:41.391515
PO0000020,V02435,Platforms,330,2025-04-05 23:04:46,2026-08-12 21:41:41.391515
PO0000022,V02737,Markets,956,2024-05-26 10:37:17,2026-08-12 21:41:41.391515
PO0000023,V03885,Schemas,766,2026-02-17 06:48:12,2026-08-12 21:41:41.391515
PO0000024,V03347,Schemas,14,2026-01-18 07:43:08,2026-08-12 21:41:41.391515
PO0000025,V01297,E-tailers,316,2025-04-29 12:13:23,2026-08-12 21:41:41.391515
PO0000026,V00797,Channels,401,2024-11-30 07:17:55,2026-08-12 21:41:41.391515
PO0000028,V03226,Models,782,2024-05-16 00:15:59,2026-08-12 21:41:41.391515
PO0000029,V00813,Platforms,158,2025-12-28 18:48:54,2026-08-12 21:41:41.391515
PO0000030,V03077,E-services,378,2025-08-19 18:47:52,2026-08-12 21:41:41.391515
PO0000031,V01478,Systems,1000,2026-04-12 07:50:29,2026-08-12 21:41:41.391515
PO0000032,V02119,Architectures,764,2024-10-10 04:27:35,2026-08-12 21:41:41.391515
PO0000033,V02795,Niches,621,2025-07-26 16:37:52,2026-08-12 21:41:41.391515
PO0000034,V03233,E-commerce,840,2024-08-13 07:57:52,2026-08-12 21:41:41.391515
PO0000035,V03613,Relationships,119,2025-01-16 19:39:35,2026-08-12 21:41:41.391515
PO0000036,V00622,E-services,-406,2024-07-07 10:50:37,2026-08-12 21:41:41.391515
PO0000037,V03041,E-services,272,2025-07-18 12:45:40,2026-08-12 21:41:41.391515
PO0000038,V02797,Niches,561,2025-08-12 03:07:18,2026-08-12 21:41:41.391515
PO0000039,V02542,Niches,984,2025-08-10 10:33:40,2026-08-12 21:41:41.391515
PO0000040,V01640,Services,280,2024-10-30 14:25:36,2026-08-12 21:41:41.391515
PO0000042,V01100,Relationships,464,2025-01-18 17:06:17,2026-08-12 21:41:41.391515
PO0000044,V00925,Info-mediaries,574,2025-07-26 15:00:59,2026-08-12 21:41:41.391515
PO0000045,V04713,Users,691,2024-12-21 06:27:16,2026-08-12 21:41:41.391515
PO0000046,V04671,Channels,542,2025-11-10 01:38:47,2026-08-12 21:41:41.391515
PO0000047,V00763,Convergence,221,2026-03-06 23:44:43,2026-08-12 21:41:41.391515
PO0000048,V02992,Relationships,70,2026-03-16 00:55:25,2026-08-12 21:41:41.391515
PO0000049,V00381,E-markets,829,2025-12-02 16:05:58,2026-08-12 21:41:41.391515
PO0000050,V03011,Bandwidth,357,2024-07-11 23:23:29,2026-08-12 21:41:41.391515
PO0000052,V00536,Partnerships,397,2024-07-06 06:02:11,2026-08-12 21:41:41.391515
PO0000053,V02880,E-services,811,2024-08-30 02:51:29,2026-08-12 21:41:41.391515
PO0000054,V00020,Schemas,695,2024-09-01 07:47:18,2026-08-12 21:41:41.391515
PO0000058,V04733,Infrastructures,23,2025-02-13 05:29:16,2026-08-12 21:41:41.391515
PO0000059,V00090,Models,824,2025-11-20 08:04:42,2026-08-12 21:41:41.391515
PO0000060,V00464,Services,624,2024-11-01 16:54:27,2026-08-12 21:41:41.391515
PO0000061,V02200,E-services,539,2024-10-29 00:17:24,2026-08-12 21:41:41.391515
PO0000062,V00503,Communities,694,2024-10-06 03:05:29,2026-08-12 21:41:41.391515
PO0000063,V01512,Relationships,393,2025-06-25 01:46:49,2026-08-12 21:41:41.391515
PO0000064,V02244,Networks,827,2025-04-05 22:52:22,2026-08-12 21:41:41.391515
PO0000065,V00368,Roi,356,2024-09-06 04:56:58,2026-08-12 21:41:41.391515
PO0000066,V04162,E-services,635,2024-08-23 00:57:58,2026-08-12 21:41:41.391515
PO0000067,V03052,Bandwidth,856,2024-05-04 16:17:44,2026-08-12 21:41:41.391515
PO0000068,V04584,Infrastructures,696,2025-01-23 04:25:17,2026-08-12 21:41:41.391515
PO0000069,V01164,E-services,777,2026-02-12 18:42:18,2026-08-12 21:41:41.391515
PO0000070,V03738,Systems,970,2024-11-28 16:24:01,2026-08-12 21:41:41.391515
PO0000071,V01985,Partnerships,85,2024-08-12 05:55:16,2026-08-12 21:41:41.391515
PO0000072,V03689,Infrastructures,476,2024-08-08 02:54:24,2026-08-12 21:41:41.391515
PO0000073,V01370,Web-readiness,704,2024-07-14 18:24:19,2026-08-12 21:41:41.391515
PO0000074,V03187,E-services,899,2025-02-03 19:22:09,2026-08-12 21:41:41.391515
PO0000075,V02561,Web-readiness,863,2024-09-01 19:48:22,2026-08-12 21:41:41.391515
PO0000076,V03692,Solutions,781,2025-02-04 17:48:27,2026-08-12 21:41:41.391515
PO0000077,V03982,Markets,893,2025-09-27 12:01:34,2026-08-12 21:41:41.391515
PO0000078,V02781,Partnerships,924,2024-12-22 22:46:52,2026-08-12 21:41:41.391515
PO0000079,V04245,Info-mediaries,-878,2025-10-02 03:21:08,2026-08-12 21:41:41.391515
PO0000080,V00522,E-commerce,435,2026-01-07 20:36:52,2026-08-12 21:41:41.391515
PO0000081,V02215,Action-items,543,2024-11-06 11:28:33,2026-08-12 21:41:41.391515
PO0000082,V04394,Users,921,2025-07-21 03:07:43,2026-08-12 21:41:41.391515
PO0000083,V00989,Relationships,218,2026-03-01 19:13:52,2026-08-12 21:41:41.391515
PO0000084,V03078,Metrics,709,2025-09-01 19:24:12,2026-08-12 21:41:41.391515
PO0000085,V01811,E-commerce,37,2025-02-09 02:29:48,2026-08-12 21:41:41.391515
PO0000086,V02136,Channels,602,2026-02-07 05:16:37,2026-08-12 21:41:41.391515
PO0000088,V00970,E-tailers,946,2026-03-24 20:54:30,2026-08-12 21:41:41.391515
PO0000089,V04087,Roi,402,2024-09-16 16:48:34,2026-08-12 21:41:41.391515
PO0000090,V04654,Networks,360,2025-11-13 19:29:02,2026-08-12 21:41:41.391515
PO0000091,V02893,Users,479,2025-11-10 15:06:14,2026-08-12 21:41:41.391515
PO0000092,V03573,Partnerships,320,2024-04-19 04:17:00,2026-08-12 21:41:41.391515
PO0000093,V04371,Schemas,24,2025-10-07 18:37:48,2026-08-12 21:41:41.391515
PO0000094,V02947,E-commerce,725,2025-06-11 02:38:56,2026-08-12 21:41:41.391515
PO0000096,V02799,E-services,60,2024-09-16 20:35:57,2026-08-12 21:41:41.391515
PO0000098,V01999,Relationships,706,2024-11-29 04:14:42,2026-08-12 21:41:41.391515
PO0000099,V00412,Channels,681,2024-12-02 16:42:23,2026-08-12 21:41:41.391515
PO0000100,V03922,Networks,124,2024-12-08 14:38:49,2026-08-12 21:41:41.391515
PO0000102,V02241,Communities,70,2026-02-28 08:32:24,2026-08-12 21:41:41.391515
PO0000103,V03648,Communities,749,2026-03-21 19:41:02,2026-08-12 21:41:41.391515
PO0000104,V04696,Platforms,666,2026-01-25 10:00:08,2026-08-12 21:41:41.391515
PO0000105,V04834,Partnerships,328,2024-05-02 09:26:48,2026-08-12 21:41:41.391515
PO0000106,V01748,Channels,365,2024-12-10 16:49:01,2026-08-12 21:41:41.391515
PO0000107,V00869,Users,70,2025-05-13 01:55:35,2026-08-12 21:41:41.391515
PO0000108,V03170,Channels,225,2026-01-30 22:25:46,2026-08-12 21:41:41.391515
PO0000109,V04058,Channels,950,2025-05-25 18:55:42,2026-08-12 21:41:41.391515
PO0000110,V01692,Paradigms,686,2025-05-10 15:59:47,2026-08-12 21:41:41.391515
PO0000111,V01172,Users,968,2025-05-18 00:41:40,2026-08-12 21:41:41.391515
PO0000112,V00739,E-commerce,479,2025-07-27 10:27:13,2026-08-12 21:41:41.391515
PO0000113,V04411,Models,325,2025-07-12 14:13:22,2026-08-12 21:41:41.391515
PO0000114,V00513,Channels,373,2026-04-04 11:51:58,2026-08-12 21:41:41.391515
PO0000115,V03504,Platforms,641,2024-12-30 18:53:21,2026-08-12 21:41:41.391515
PO0000116,V02678,Platforms,894,2024-04-27 03:05:36,2026-08-12 21:41:41.391515
PO0000117,V00636,Niches,623,2024-11-14 11:16:39,2026-08-12 21:41:41.391515
PO0000119,V02271,E-services,747,2024-05-04 04:05:44,2026-08-12 21:41:41.391515
PO0000120,V03269,Info-mediaries,365,2026-01-02 20:00:59,2026-08-12 21:41:41.391515
PO0000121,V01663,Schemas,62,2024-08-25 02:33:30,2026-08-12 21:41:41.391515
PO0000122,V04703,Systems,797,2024-04-26 00:38:17,2026-08-12 21:41:41.391515
PO0000123,V03286,Channels,-625,2026-02-15 03:07:15,2026-08-12 21:41:41.391515
PO0000124,V02123,Methodologies,875,2025-02-02 15:36:13,2026-08-12 21:41:41.391515
PO0000125,V03817,E-markets,620,2025-08-07 19:09:52,2026-08-12 21:41:41.391515
PO0000126,V03408,Bandwidth,-752,2025-09-30 14:23:35,2026-08-12 21:41:41.391515
PO0000127,V01300,Niches,724,2025-02-05 05:43:09,2026-08-12 21:41:41.391515
PO0000128,V04258,Users,130,2025-12-03 22:37:04,2026-08-12 21:41:41.391515
PO0000129,V04570,E-business,124,2025-05-17 04:25:04,2026-08-12 21:41:41.391515
PO0000130,V01877,Users,882,2025-10-01 13:28:26,2026-08-12 21:41:41.391515
PO0000131,V04391,Info-mediaries,333,2025-01-14 08:44:10,2026-08-12 21:41:41.391515
PO0000132,V01282,Roi,454,2024-06-12 10:38:15,2026-08-12 21:41:41.391515
PO0000133,V02963,Methodologies,861,2025-08-06 10:07:40,2026-08-12 21:41:41.391515
PO0000134,V01360,Platforms,538,2025-12-04 01:06:22,2026-08-12 21:41:41.391515
PO0000135,V01333,Users,668,2026-02-26 14:32:20,2026-08-12 21:41:41.391515
PO0000136,V03829,Users,-359,2024-12-17 07:03:18,2026-08-12 21:41:41.391515
PO0000137,V03705,E-services,635,2024-09-12 04:05:19,2026-08-12 21:41:41.391515
PO0000139,V04458,Paradigms,595,2025-09-29 15:10:27,2026-08-12 21:41:41.391515
PO0000141,V03498,Info-mediaries,285,2025-05-08 21:51:24,2026-08-12 21:41:41.391515
PO0000142,V00533,Users,770,2024-11-03 22:03:48,2026-08-12 21:41:41.391515
PO0000143,V00525,Systems,709,2025-08-15 14:46:41,2026-08-12 21:41:41.391515
PO0000144,V03760,Architectures,707,2025-10-15 06:14:04,2026-08-12 21:41:41.391515
PO0000147,V04993,Infrastructures,783,2025-02-20 13:39:30,2026-08-12 21:41:41.391515
PO0000149,V00350,E-services,455,2025-08-23 23:06:46,2026-08-12 21:41:41.391515
PO0000150,V02743,Schemas,99,2025-09-11 00:55:50,2026-08-12 21:41:41.391515
PO0000151,V01335,Infrastructures,130,2024-09-27 12:00:19,2026-08-12 21:41:41.391515
PO0000152,V01509,Partnerships,261,2024-08-20 06:01:00,2026-08-12 21:41:41.391515
PO0000153,V04472,Markets,40,2026-02-28 16:43:29,2026-08-12 21:41:41.391515
PO0000154,V02110,Functionalities,751,2025-07-26 06:43:18,2026-08-12 21:41:41.391515
PO0000155,V02337,Partnerships,16,2025-11-14 14:55:36,2026-08-12 21:41:41.391515
PO0000156,V04905,E-markets,-106,2024-12-19 20:46:09,2026-08-12 21:41:41.391515
PO0000157,V02487,Networks,456,2025-03-05 15:50:15,2026-08-12 21:41:41.391515
PO0000158,V02299,Schemas,831,2024-10-16 02:48:30,2026-08-12 21:41:41.391515
PO0000159,V04362,Paradigms,580,2024-11-12 04:11:55,2026-08-12 21:41:41.391515
PO0000160,V00058,Web-readiness,430,2024-09-08 16:34:34,2026-08-12 21:41:41.391515
PO0000161,V03581,Users,170,2025-04-04 08:36:09,2026-08-12 21:41:41.391515
PO0000162,V04542,Channels,345,2026-04-03 14:07:00,2026-08-12 21:41:41.391515
PO0000164,V05000,Services,531,2025-04-21 07:15:33,2026-08-12 21:41:41.391515
PO0000165,V00868,E-commerce,-909,2024-12-21 17:01:50,2026-08-12 21:41:41.391515
PO0000166,V01194,Schemas,746,2025-12-26 08:08:40,2026-08-12 21:41:41.391515
PO0000167,V01472,Niches,741,2024-08-28 10:27:35,2026-08-12 21:41:41.391515
PO0000168,V00526,E-markets,220,2024-08-20 07:07:43,2026-08-12 21:41:41.391515
PO0000169,V00491,Roi,193,2026-03-27 09:59:39,2026-08-12 21:41:41.391515
PO0000170,V01776,Experiences,567,2025-01-21 14:41:40,2026-08-12 21:41:41.391515
PO0000171,V02918,Architectures,856,2025-07-02 14:16:25,2026-08-12 21:41:41.391515
PO0000172,V02158,Bandwidth,246,2024-08-15 07:41:36,2026-08-12 21:41:41.391515
PO0000173,V02963,Methodologies,656,2024-05-01 15:05:18,2026-08-12 21:41:41.391515
PO0000174,V03041,E-services,749,2025-03-08 22:59:21,2026-08-12 21:41:41.391515
PO0000175,V04540,Models,492,2024-06-19 13:48:06,2026-08-12 21:41:41.391515
PO0000176,V03322,Schemas,860,2026-03-07 01:06:04,2026-08-12 21:41:41.391515
PO0000177,V04170,Niches,744,2025-02-22 04:55:36,2026-08-12 21:41:41.391515
PO0000178,V02272,Services,510,2025-01-14 07:24:32,2026-08-12 21:41:41.391515
PO0000179,V03309,Roi,555,2025-06-13 13:31:39,2026-08-12 21:41:41.391515
PO0000180,V03658,Channels,112,2024-06-22 00:44:14,2026-08-12 21:41:41.391515
PO0000181,V01623,E-markets,190,2024-08-06 02:46:23,2026-08-12 21:41:41.391515
PO0000182,V03392,Systems,348,2026-01-06 18:44:47,2026-08-12 21:41:41.391515
PO0000183,V03297,Channels,621,2025-07-31 14:29:11,2026-08-12 21:41:41.391515
PO0000184,V03152,Methodologies,683,2024-07-30 22:47:09,2026-08-12 21:41:41.391515
