vendor_id,vendor_name,region,risk_rating,ingestion_timestamp
V00001,"Rodriguez, Figueroa and Sanchez",AMER,Low,2026-08-12 21:45:32.070184
V00002,Doyle Ltd,EMEA,High,2026-08-12 21:45:32.070184
V00003,"Mcclain, Miller and Henderson",AMER,High,2026-08-12 21:45:32.070184
V00004,Davis and Sons,EMEA,Low,2026-08-12 21:45:32.070184
V00005,"Guzman, Hoffman and Baldwin",EMEA,High,2026-08-12 21:45:32.070184
V00006,"Gardner, Robinson and Lawrence",EMEA,Medium,2026-08-12 21:45:32.070184
V00007,Blake and Sons,AMER,Low,2026-08-12 21:45:32.070184
V00008,"Henderson, Ramirez and Lewis",EMEA,Low,2026-08-12 21:45:32.070184
V00009,Garcia-James,AMER,Medium,2026-08-12 21:45:32.070184
V00010,Abbott-Munoz,APAC,Low,2026-08-12 21:45:32.070184
V00011,Blair PLC,LATAM,Low,2026-08-12 21:45:32.070184
V00012,Dudley Group,APAC,High,2026-08-12 21:45:32.070184
V00013,Arnold Ltd,EMEA,Medium,2026-08-12 21:45:32.070184
V00014,"Mcclure, Ward and Lee",AMER,Medium,2026-08-12 21:45:32.070184
V00015,Williams and Sons,APAC,Low,2026-08-12 21:45:32.070184
V00016,Galloway-Wyatt,APAC,High,2026-08-12 21:45:32.070184
V00017,James Group,EMEA,High,2026-08-12 21:45:32.070184
V00018,"Flowers, Martin and Kelly",LATAM,Medium,2026-08-12 21:45:32.070184
V00019,"Adams, Zuniga and Wong",EMEA,High,2026-08-12 21:45:32.070184
V00020,"Reid, Ferguson and Sanchez",AMER,Low,2026-08-12 21:45:32.070184
V00021,Gray-Mayo,LATAM,Medium,2026-08-12 21:45:32.070184
V00022,"Watts, Robinson and Nguyen",APAC,Low,2026-08-12 21:45:32.070184
V00023,Perez Inc,LATAM,Low,2026-08-12 21:45:32.070184
V00024,Morales-Jones,APAC,High,2026-08-12 21:45:32.070184
V00025,"Walter, Edwards and Rios",LATAM,Medium,2026-08-12 21:45:32.070184
V00026,Wilkerson-Day,LATAM,Low,2026-08-12 21:45:32.070184
V00027,Baker and Sons,EMEA,High,2026-08-12 21:45:32.070184
V00028,"Hoffman, Baker and Richards",AMER,Medium,2026-08-12 21:45:32.070184
V00029,"ross, robinson and bright",APAC,High,2026-08-12 21:45:32.070184
V00030,"Snyder, Campos and Callahan",AMER,High,2026-08-12 21:45:32.070184
V00031,Burton Ltd,APAC,Low,2026-08-12 21:45:32.070184
V00032,Carlson-Cruz,AMER,High,2026-08-12 21:45:32.070184
V00033,"Ferrell, Rice and Maddox",EMEA,High,2026-08-12 21:45:32.070184
V00034,Frazier Inc,APAC,High,2026-08-12 21:45:32.070184
V00035,"Dyer, Potter and Mack",APAC,Low,2026-08-12 21:45:32.070184
V00036,rodriguez-graham,AMER,High,2026-08-12 21:45:32.070184
V00037,Smith-Bowen,APAC,Medium,2026-08-12 21:45:32.070184
V00038,"Baker, Mason and White",AMER,Low,2026-08-12 21:45:32.070184
V00039,Harrell LLC,EMEA,Low,2026-08-12 21:45:32.070184
V00040,"Romero, Gonzalez and Brooks",EMEA,Medium,2026-08-12 21:45:32.070184
V00041,Ryan PLC,EMEA,High,2026-08-12 21:45:32.070184
V00042,George Group,APAC,Medium,2026-08-12 21:45:32.070184
V00043,Rodriguez LLC,LATAM,High,2026-08-12 21:45:32.070184
V00044,Allen-Allen,AMER,,2026-08-12 21:45:32.070184
V00045,"Arroyo, Miller and Tucker",EMEA,Low,2026-08-12 21:45:32.070184
V00046,Spence PLC,EMEA,Low,2026-08-12 21:45:32.070184
V00047,Anderson Group,AMER,High,2026-08-12 21:45:32.070184
V00048,"Martin, Rose and Obrien",EMEA,High,2026-08-12 21:45:32.070184
V00049,Hickman Ltd,LATAM,Low,2026-08-12 21:45:32.070184
V00050,"Harris, Collins and Carney",EMEA,Low,2026-08-12 21:45:32.070184
V00051,"Brooks, Lam and Hayes",LATAM,Medium,2026-08-12 21:45:32.070184
V00052,Walker LLC,AMER,Low,2026-08-12 21:45:32.070184
V00053,Chapman and Sons,AMER,Low,2026-08-12 21:45:32.070184
V00054,"Robinson, Jones and Welch",EMEA,Medium,2026-08-12 21:45:32.070184
V00055,Jones Inc,AMER,Medium,2026-08-12 21:45:32.070184
V00056,Jones-Young,AMER,Low,2026-08-12 21:45:32.070184
V00057,"Washington, Ryan and Cummings",AMER,Low,2026-08-12 21:45:32.070184
V00058,"Johnston, Sanchez and Kennedy",EMEA,Medium,2026-08-12 21:45:32.070184
V00059,lee-davis,LATAM,Low,2026-08-12 21:45:32.070184
V00060,Gomez-Jenkins,LATAM,Medium,2026-08-12 21:45:32.070184
V00061,"Brown, Valdez and Lucas",APAC,Medium,2026-08-12 21:45:32.070184
V00062,Powell LLC,LATAM,Low,2026-08-12 21:45:32.070184
V00063,Wright and Sons,AMER,High,2026-08-12 21:45:32.070184
V00064,"West, Henderson and Ramirez",APAC,Low,2026-08-12 21:45:32.070184
V00065,Baxter Inc,EMEA,Low,2026-08-12 21:45:32.070184
V00066,Morton-Chase,EMEA,Low,2026-08-12 21:45:32.070184
V00067,Williams PLC,EMEA,Medium,2026-08-12 21:45:32.070184
V00068,Novak and Sons,EMEA,High,2026-08-12 21:45:32.070184
V00069,Russell Group,LATAM,High,2026-08-12 21:45:32.070184
V00070,Hancock Inc,APAC,Low,2026-08-12 21:45:32.070184
V00071,Gray Group,APAC,Medium,2026-08-12 21:45:32.070184
V00072,House-Glover,LATAM,Medium,2026-08-12 21:45:32.070184
V00073,Henderson-Bernard,AMER,Medium,2026-08-12 21:45:32.070184
V00074,"Stanley, Tucker and Lee",AMER,Low,2026-08-12 21:45:32.070184
V00075,Novak PLC,EMEA,Medium,2026-08-12 21:45:32.070184
V00076,"Daniels, Adkins and Brown",APAC,Medium,2026-08-12 21:45:32.070184
V00077,"Woods, Calhoun and Schmidt",APAC,High,2026-08-12 21:45:32.070184
V00078,Yu Inc,AMER,High,2026-08-12 21:45:32.070184
V00079,Jones Inc,AMER,Low,2026-08-12 21:45:32.070184
V00080,"Hensley, Powell and David",EMEA,Medium,2026-08-12 21:45:32.070184
V00081,"Sanchez, Wheeler and Harvey",APAC,Low,2026-08-12 21:45:32.070184
V00082,Sandoval-Cunningham,LATAM,Medium,2026-08-12 21:45:32.070184
V00083,Donovan-Harris,AMER,High,2026-08-12 21:45:32.070184
V00084,"Edwards, Baker and Anderson",AMER,Medium,2026-08-12 21:45:32.070184
V00085,"Evans, Stewart and Walton",APAC,Low,2026-08-12 21:45:32.070184
V00086,Smith PLC,LATAM,,2026-08-12 21:45:32.070184
V00087,"Ferrell, Jones and Lewis",EMEA,,2026-08-12 21:45:32.070184
V00088,Anderson-Bailey,EMEA,Medium,2026-08-12 21:45:32.070184
V00089,Suarez LLC,AMER,Medium,2026-08-12 21:45:32.070184
V00090,Moore-Bass,AMER,Medium,2026-08-12 21:45:32.070184
V00091,"Turner, Riggs and Roman",LATAM,High,2026-08-12 21:45:32.070184
V00092,"Smith, Montoya and Evans",EMEA,Low,2026-08-12 21:45:32.070184
V00093,"Garcia, Humphrey and Baker",LATAM,Low,2026-08-12 21:45:32.070184
V00094,Newton and Sons,LATAM,High,2026-08-12 21:45:32.070184
V00095,Campbell-Clark,APAC,Low,2026-08-12 21:45:32.070184
V00096,Harris-Walters,AMER,Medium,2026-08-12 21:45:32.070184
V00097,Wagner-King,LATAM,Medium,2026-08-12 21:45:32.070184
V00098,Davis Group,EMEA,,2026-08-12 21:45:32.070184
V00099,Williams-Cook,APAC,Medium,2026-08-12 21:45:32.070184
V00100,Walsh LLC,APAC,Medium,2026-08-12 21:45:32.070184
V00101,Figueroa PLC,APAC,Low,2026-08-12 21:45:32.070184
V00102,"Patterson, Smith and Jones",EMEA,High,2026-08-12 21:45:32.070184
V00103,"Mckee, Gardner and Davenport",AMER,High,2026-08-12 21:45:32.070184
V00104,"Tran, Jordan and Williams",APAC,Medium,2026-08-12 21:45:32.070184
V00105,Nolan-Flynn,LATAM,High,2026-08-12 21:45:32.070184
