item_id,order_id,product_id,quantity,unit_price,discount_percent
1,441,P0352,5,3901.93,22.86
2,236,P0162,1,3477.13,0.59
3,52,P0167,2,1871.85,43.09
4,122,P0138,2,2409.59,30.65
5,218,P0108,3,2153.56,37.61
6,144,P0231,3,981.46,6.56
7,417,P0052,5,3632.0,40.2
8,196,P0101,5,814.63,47.96
9,5,P0091,2,2165.45,6.72
10,162,P0403,5,2484.44,12.55
11,51,P0354,5,900.38,10.77
12,323,P0050,3,2304.29,16.73
13,286,P0478,3,4069.08,17.21
14,445,P0348,4,4819.27,9.95
15,276,P0090,5,4898.93,14.23
16,250,P0397,3,3708.98,44.48
17,238,P0324,4,4787.31,43.41
18,314,P0293,3,2083.39,45.35
19,117,P0161,1,1652.7,14.57
20,203,P0139,3,4449.69,39.05
21,267,P0495,3,2306.41,8.37
22,121,P0339,1,1333.07,37.19
23,204,P0053,1,568.21,46.84
24,14,P0395,4,2045.36,38.25
25,317,P0080,1,513.13,46.58
26,127,P0378,4,1492.46,31.32
27,88,P0015,2,272.26,17.84
28,240,P0500,3,4367.4,46.74
29,497,P0486,5,3518.35,8.85
30,384,P0326,5,4398.74,21.75
31,178,P0247,5,2744.37,40.24
32,212,P0134,4,863.02,0.53
33,435,P0070,5,1785.04,23.46
34,252,P0485,1,3801.82,14.98
35,306,P0119,4,4004.16,27.41
36,288,P0224,2,2034.29,8.16
37,113,P0135,4,488.13,31.27
38,466,P0314,5,4057.12,34.23
39,273,P0415,3,1417.23,9.4
40,149,P0057,1,3220.77,30.89
41,252,P0097,3,1671.15,7.61
42,498,P0053,-5,1482.36,6.25
43,120,P0047,4,838.35,24.68
44,403,P0410,3,2542.14,18.57
45,432,P0385,1,4763.06,2.8
46,241,P0093,4,1041.74,42.08
47,63,P0499,4,3863.91,12.45
48,18,P0102,4,2358.09,38.55
49,107,P0243,5,2006.7,48.06
50,373,P0022,3,3749.15,27.48
51,327,P0153,1,1073.75,44.38
52,121,P0325,2,2227.39,0.75
53,203,P0405,3,1291.14,48.44
54,244,P0353,5,3021.44,18.57
55,256,P0047,1,3461.13,16.92
56,331,P0079,1,3536.51,39.57
57,163,P0286,2,3963.95,37.83
58,11,P0353,4,1951.07,36.22
59,249,P0362,3,2243.75,14.74
60,96,P0279,4,1803.56,36.62
61,307,P0469,3,4316.75,8.02
62,152,P0420,5,1390.41,18.36
63,260,P0195,1,3694.92,44.15
64,398,P0318,5,1270.05,36.05
65,98,P0269,5,3447.8,38.29
66,166,P0210,2,3240.43,5.52
67,23,P0428,5,4695.22,8.93
68,249,P0099,1,583.89,28.55
69,270,P0320,4,3536.44,12.8
70,368,P0037,3,164.12,46.05
71,427,P0041,4,2393.49,31.95
72,481,P0456,3,2138.17,18.45
73,137,P0271,1,299.2,3.52
74,111,P0492,3,2645.48,5.06
75,98,P0099,2,2678.34,12.44
76,286,P0213,2,3755.93,38.31
77,235,P0360,5,3359.69,44.14
78,282,P0206,2,2572.99,32.88
79,227,P0478,5,1826.39,15.76
80,212,P0392,3,3202.88,41.31
81,289,P0280,3,1148.25,38.29
82,232,P0230,3,4803.14,0.01
83,306,P0009,1,2636.29,49.67
84,114,P0110,-3,4293.03,1.09
85,262,P0285,3,2896.27,28.58
86,183,P0080,1,778.2,18.35
87,132,P0416,5,1571.48,28.52
88,376,P0040,5,3645.54,39.65
89,461,P0354,2,3543.95,40.98
90,154,P0020,1,3680.87,28.81
91,472,P0395,1,1738.51,43.99
92,445,P0062,4,4361.95,11.34
93,325,P0399,5,3197.75,2.71
94,277,P0290,5,832.94,25.12
95,345,P0375,2,4987.1,48.55
96,47,P0114,5,2216.48,39.32
97,43,P0244,2,2900.06,2.47
98,205,P0257,4,2229.01,34.89
99,102,P0250,2,2037.06,28.57
100,377,P0269,5,1306.6,3.58
101,474,P0295,4,539.01,33.59
102,98,P0165,4,1788.17,32.77
103,180,P0316,3,4125.76,40.14
104,23,P0474,5,4109.04,9.98
105,373,P0437,3,520.49,36.98
106,475,P0076,2,4356.89,41.01
107,412,P0057,1,1595.08,23.56
108,276,P0109,3,1098.63,26.16
109,319,P0374,3,4962.28,34.75
110,464,P0340,1,2681.32,12.77
111,405,P0357,1,3128.03,2.65
112,339,P0139,1,3348.61,45.64
113,10,P0150,3,4350.31,32.47
114,261,P0364,2,588.06,15.77
115,96,P0102,5,2553.19,22.9
116,473,P0272,1,1594.14,24.5
117,351,P0181,-2,1841.35,15.12
118,32,P0321,5,1362.63,19.36
119,486,P0144,1,1205.36,17.09
120,45,P0374,4,1972.81,48.03
121,352,P0117,5,2144.93,28.64
122,466,P0310,4,1713.5,27.11
123,298,P0278,2,3451.84,10.12
124,362,P0461,2,2666.65,6.76
125,290,P0470,2,874.43,3.39
126,61,P0095,5,1656.23,43.98
127,451,P0499,1,2128.8,20.56
128,421,P0458,4,3220.55,36.92
129,55,P0068,2,1005.26,38.12
130,311,P0291,5,3100.57,29.82
131,184,P0041,2,3471.89,23.83
132,241,P0365,5,3282.89,9.2
133,71,P0084,4,1046.97,1.61
134,487,P0212,1,1190.52,33.57
135,34,P0091,2,4642.81,49.28
136,167,P0444,5,2341.97,12.34
137,312,P0377,4,4139.21,36.01
138,381,P0293,4,3009.65,26.26
139,232,P0234,1,4152.35,2.12
140,203,P0377,2,292.33,19.37
141,226,P0204,1,4433.55,38.68
142,217,P0151,3,3104.36,2.73
143,238,P0425,5,3265.9,4.52
144,399,P0300,5,4695.43,34.81
145,166,P0231,2,222.07,22.68
146,47,P0129,2,1687.97,32.43
147,64,P0047,2,659.41,22.47
148,363,P0197,3,3661.68,48.76
149,194,P0282,5,1964.97,38.41
150,338,P0442,3,835.44,43.44
151,27,P0215,2,1609.5,36.51
152,93,P0061,4,4502.86,48.02
153,130,P0007,1,2347.35,42.77
154,312,P0452,5,2517.99,10.84
155,227,P0041,4,3045.96,0.33
156,322,P0286,5,4118.59,10.38
157,335,P0179,2,279.93,42.69
158,153,P0170,5,4609.89,2.45
159,83,P0345,4,1493.46,33.05
160,288,P0091,5,4834.84,37.47
161,48,P0394,3,1566.54,18.43
162,389,P0219,4,4232.22,3.25
163,356,P0441,4,1444.65,26.35
164,108,P0314,5,385.1,28.57
165,248,P0371,5,3474.41,46.69
166,435,P0163,3,1372.33,28.76
167,67,P0315,5,2856.91,25.99
168,93,P0453,4,3086.09,35.43
169,13,P0239,-2,3164.76,5.9
170,213,P0212,2,322.91,17.48
171,104,P0354,-2,1479.97,39.51
172,282,P0166,3,3858.46,5.69
173,371,P0292,3,3118.37,1.46
174,427,P0174,2,4619.17,23.96
175,331,P0070,4,2459.33,31.36
176,237,P0402,5,4089.42,46.39
177,154,P0290,1,3652.32,15.78
178,296,P0351,-5,1725.42,45.81
179,77,P0144,3,4219.62,16.96
180,432,P0085,4,2897.81,19.48
181,401,P0385,5,1610.58,42.89
