order_id,customer_id,order_date,status,region_code
1,345.0,2026-05-08 15:14:57,PLACED,WEST
2,69.0,2026-02-10 15:14:57,DELIVERED,NORTH
3,206.0,2026-05-21 15:14:57,RETURNED,EAST
4,38.0,2026-03-25 15:14:57,DELIVERED,NORTH
5,66.0,2026-02-24 15:14:57,DELIVERED,EAST
6,387.0,2026-06-11 15:14:57,RETURNED,NORTH
7,-1.0,2026-08-07 15:14:57,CANCELLED,WEST
8,77.0,2026-04-27 15:14:57,RETURNED,EAST
9,84.0,2026-06-18 15:14:57,DELIVERED,EAST
10,260.0,2026-05-06 15:14:57,RETURNED,EAST
11,244.0,2026-02-11 15:14:57,PLACED,WEST
12,299.0,2026-07-25 15:14:57,RETURNED,WEST
13,136.0,2026-05-30 15:14:57,PLACED,WEST
14,88.0,2026-06-20 15:14:57,CANCELLED,SOUTH
15,421.0,2025-08-23 15:14:57,PLACED,SOUTH
16,10.0,2026-03-09 15:14:57,SHIPPED,WEST
17,257.0,2026-04-05 15:14:57,PLACED,SOUTH
18,266.0,2026-01-20 15:14:57,CANCELLED,WEST
19,161.0,2026-03-30 15:14:57,DELIVERED,EAST
20,347.0,2026-07-21 15:14:57,DELIVERED,WEST
21,99.0,2025-12-27 15:14:57,SHIPPED,EAST
22,395.0,2025-11-21 15:14:57,CANCELLED,EAST
23,246.0,2025-12-25 15:14:57,RETURNED,WEST
24,459.0,2026-01-30 15:14:57,SHIPPED,EAST
25,22.0,2026-08-07 15:14:57,CANCELLED,EAST
26,383.0,2025-11-18 15:14:57,DELIVERED,EAST
27,71.0,2026-06-03 15:14:57,PLACED,SOUTH
28,327.0,2025-09-27 15:14:57,CANCELLED,NORTH
29,349.0,2025-08-09 15:14:57,SHIPPED,WEST
30,335.0,2026-04-07 15:14:57,SHIPPED,EAST
31,165.0,2025-09-06 15:14:57,PLACED,SOUTH
32,274.0,2025-08-26 15:14:57,SHIPPED,WEST
33,452.0,2025-08-25 15:14:57,CANCELLED,WEST
34,96.0,2026-01-02 15:14:57,PLACED,EAST
35,291.0,2026-01-25 15:14:57,RETURNED,WEST
36,456.0,2026-04-22 15:14:57,SHIPPED,NORTH
37,170.0,2026-03-29 15:14:57,SHIPPED,NORTH
38,378.0,2026-01-05 15:14:57,SHIPPED,SOUTH
39,313.0,2026-03-02 15:14:57,RETURNED,EAST
40,45.0,2025-09-24 15:14:57,SHIPPED,WEST
41,166.0,2025-08-10 15:14:57,SHIPPED,WEST
42,386.0,2026-01-22 15:14:57,RETURNED,NORTH
43,134.0,2026-07-27 15:14:57,PLACED,WEST
44,158.0,2026-07-24 15:14:57,DELIVERED,NORTH
45,328.0,2026-01-05 15:14:57,SHIPPED,SOUTH
46,491.0,2025-10-24 15:14:57,RETURNED,EAST
47,213.0,2026-04-05 15:14:57,SHIPPED,SOUTH
48,349.0,2025-09-17 15:14:57,RETURNED,EAST
49,40.0,2025-10-03 15:14:57,RETURNED,SOUTH
50,294.0,2025-10-30 15:14:57,RETURNED,WEST
51,60.0,2026-06-01 15:14:57,RETURNED,WEST
52,415.0,2025-10-13 15:14:57,CANCELLED,NORTH
53,287.0,2026-01-11 15:14:57,CANCELLED,EAST
54,-1.0,2025-11-26 15:14:57,PLACED,WEST
55,177.0,2026-05-11 15:14:57,PLACED,WEST
56,17.0,2025-11-07 15:14:57,CANCELLED,EAST
57,457.0,2026-02-16 15:14:57,RETURNED,SOUTH
58,335.0,2025-10-06 15:14:57,RETURNED,WEST
59,271.0,2025-11-29 15:14:57,PLACED,EAST
60,238.0,2026-05-12 15:14:57,CANCELLED,SOUTH
61,127.0,2025-10-25 15:14:57,PLACED,NORTH
62,415.0,2026-06-17 15:14:57,PLACED,SOUTH
63,106.0,2026-06-07 15:14:57,RETURNED,NORTH
64,126.0,2026-02-28 15:14:57,RETURNED,SOUTH
65,387.0,2025-09-04 15:14:57,DELIVERED,SOUTH
66,418.0,2026-05-28 15:14:57,RETURNED,EAST
67,122.0,2025-10-19 15:14:57,RETURNED,SOUTH
68,212.0,2025-09-07 15:14:57,RETURNED,SOUTH
69,321.0,2026-05-18 15:14:57,DELIVERED,WEST
70,403.0,2026-07-29 15:14:57,SHIPPED,EAST
71,193.0,2026-05-09 15:14:57,SHIPPED,EAST
72,440.0,2026-04-01 15:14:57,RETURNED,WEST
73,496.0,2026-05-05 15:14:57,SHIPPED,EAST
74,105.0,2025-09-16 15:14:57,DELIVERED,NORTH
75,275.0,2025-11-12 15:14:57,CANCELLED,NORTH
76,448.0,2026-06-03 15:14:57,RETURNED,SOUTH
77,246.0,2026-01-24 15:14:57,PLACED,SOUTH
78,480.0,2025-10-06 15:14:57,CANCELLED,SOUTH
79,357.0,2025-11-19 15:14:57,SHIPPED,EAST
80,398.0,2026-04-02 15:14:57,DELIVERED,EAST
81,134.0,2026-04-18 15:14:57,CANCELLED,EAST
82,469.0,2026-01-14 15:14:57,RETURNED,SOUTH
83,380.0,2025-12-18 15:14:57,RETURNED,WEST
84,152.0,2026-01-22 15:14:57,RETURNED,SOUTH
85,256.0,2026-07-23 15:14:57,CANCELLED,WEST
86,236.0,2026-02-03 15:14:57,RETURNED,WEST
87,95.0,2026-05-11 15:14:57,PLACED,NORTH
88,430.0,2026-07-15 15:14:57,PLACED,WEST
89,71.0,2025-12-03 15:14:57,SHIPPED,NORTH
90,112.0,2026-02-14 15:14:57,RETURNED,WEST
91,338.0,2025-08-10 15:14:57,CANCELLED,NORTH
92,9.0,2025-12-25 15:14:57,DELIVERED,NORTH
93,258.0,2026-07-18 15:14:57,SHIPPED,NORTH
94,471.0,2025-10-22 15:14:57,RETURNED,EAST
95,418.0,2026-02-26 15:14:57,CANCELLED,WEST
96,290.0,2026-07-29 15:14:57,PLACED,NORTH
97,48.0,2026-02-16 15:14:57,PLACED,NORTH
98,360.0,2026-04-19 15:14:57,DELIVERED,NORTH
99,459.0,2025-08-28 15:14:57,RETURNED,WEST
