product_id,product_name,category,subcategory,cost_price
P0001,Forward Phone,Electronics,Phone,1262.21
P0002,Sort Shirt,Clothing,Shirt,4466.29
P0003,Probably Headphones,Electronics,Headphones,513.79
P0004,Some Shirt,Clothing,Shirt,3594.3
P0005,College Biography,Books,Biography,1427.04
P0006,Professional Laptop,Electronics,Laptop,1734.24
P0007,Least Jeans,Clothing,Jeans,1716.14
P0008,Effort Headphones,Electronics,Headphones,4245.1
P0009,Camera Table,Home,Table,2704.33
P0010,Cover Novel,Books,Novel,4155.55
P0011,Full Chair,Home,Chair,276.83
P0012,Perform Jacket,Clothing,Jacket,4283.82
P0013,My Headphones,Electronics,Headphones,3196.64
P0014,She Chair,Home,Chair,1087.06
P0015,Class Table,Home,Table,897.14
P0016,Health Jeans,Clothing,Jeans,1386.24
P0017,Central Jacket,Clothing,Jacket,3891.2
P0018,So Shirt,Clothing,Shirt,2035.77
P0019,Smile Laptop,Electronics,Laptop,2857.54
P0020,Water Chair,Home,Chair,2008.38
P0021,To Biography,Books,Biography,1270.81
P0022,Federal Lamp,Home,Lamp,2027.03
P0023,Rule Jeans,Clothing,Jeans,500.0
P0024,Same Phone,Electronics,Phone,841.91
P0025,Song Novel,Books,Novel,2999.65
P0026,Stock Comics,Books,Comics,4310.86
P0027,Leave Phone,Electronics,Phone,2708.0
P0028,Evening Sofa,Home,Sofa,2202.09
P0029,Political Novel,Books,Novel,4385.47
P0030,Could Chair,Home,Chair,576.73
P0031,Score Chair,Home,Chair,3824.43
P0032,Along Tv,Electronics,TV,603.75
P0033,Everything Sofa,Home,Sofa,1242.31
P0034,Design Phone,Electronics,Phone,4089.32
P0035,Others Jeans,Clothing,Jeans,4736.9
P0036,Establish Jacket,Clothing,Jacket,3052.64
P0037,Politics Jeans,Clothing,Jeans,2025.01
P0038,Despite Lamp,Home,Lamp,2284.86
P0039,Art Jeans,Clothing,Jeans,154.12
P0040,Under Jeans,Clothing,Jeans,3553.81
P0041,Training Laptop,Electronics,Laptop,205.49
P0042,Run Table,Home,Table,1428.46
P0043,Themselves Biography,Books,Biography,3630.6
P0044,Better Biography,Books,Biography,4047.11
P0045,World Shirt,Clothing,Shirt,2183.7
P0046,As Dictionary,Books,Dictionary,3658.93
P0047,Trade Phone,Electronics,Phone,1729.55
P0048,If Laptop,Electronics,Laptop,2704.61
P0049,Available T-Shirt,Clothing,T-Shirt,2340.01
P0050,Make Headphones,Electronics,Headphones,4287.04
P0051,Level Phone,Electronics,Phone,2725.91
P0052,Value Phone,Electronics,Phone,4251.04
P0053,Car T-Shirt,Clothing,T-Shirt,1108.05
P0054,Various Novel,Books,Novel,60.67
P0055,Fund Comics,Books,Comics,3936.39
P0056,Develop Lamp,Home,Lamp,3666.0
P0057,Enjoy Biography,Books,Biography,1127.62
P0058,Economy Phone,Electronics,Phone,332.97
P0059,Keep Biography,Books,Biography,2563.75
P0060,Half Shirt,Clothing,Shirt,3392.3
P0061,Recognize T-Shirt,Clothing,T-Shirt,4456.92
P0062,Trial Shirt,Clothing,Shirt,2125.16
P0063,Poor Sofa,Home,Sofa,3595.15
P0064,Itself Jacket,Clothing,Jacket,3374.87
P0065,Particular Lamp,Home,Lamp,3771.73
P0066,Sense Phone,Electronics,Phone,4992.35
P0067,Say Phone,Electronics,Phone,2554.13
P0068,Poor Jacket,Clothing,Jacket,4402.39
P0069,Conference Sofa,Home,Sofa,4177.04
P0070,House Table,Home,Table,2795.28
P0071,Pressure Laptop,Electronics,Laptop,4454.08
P0072,Writer Jacket,Clothing,Jacket,1092.62
P0073,City Chair,Home,Chair,4271.92
P0074,Same Comics,Books,Comics,4238.21
P0075,Study Headphones,Electronics,Headphones,268.23
P0076,Include Chair,Home,Chair,1346.68
P0077,Gas Dictionary,Books,Dictionary,603.78
P0078,Dream Shirt,Clothing,Shirt,2933.42
P0079,Light T-Shirt,Clothing,T-Shirt,1575.88
P0080,Raise Tv,Electronics,TV,1285.17
P0081,Teach Tv,Electronics,TV,4426.47
P0082,Return Biography,Books,Biography,1221.85
P0083,Them Jeans,Clothing,Jeans,172.69
P0084,Call Lamp,Home,Lamp,4327.12
P0085,Record Jacket,Clothing,Jacket,3521.33
P0086,Into Novel,Books,Novel,1151.05
P0087,Else Comics,Books,Comics,3986.96
P0088,Art Jeans,Clothing,Jeans,1005.99
P0089,Western Sofa,Home,Sofa,4836.1
P0090,Social Sofa,Home,Sofa,2028.41
P0091,Box Table,Home,Table,4853.48
P0092,You Jacket,Clothing,Jacket,3003.03
P0093,Suffer Sofa,Home,Sofa,4921.97
P0094,Might Headphones,Electronics,Headphones,990.89
P0095,Building Headphones,Electronics,Headphones,4631.6
P0096,Expert Jacket,Clothing,Jacket,4746.93
P0097,Skin Sofa,Home,Sofa,666.9
P0098,Tell Sofa,Home,Sofa,1664.61
P0099,Face Chair,Home,Chair,3341.4
P0100,Matter Biography,Books,Biography,1539.7
P0101,Experience Tv,Electronics,TV,2177.95
P0102,Call Lamp,Home,Lamp,3394.35
P0103,Message Biography,Books,Biography,1454.74
P0104,Individual Table,Home,Table,3768.13
P0105,Glass Chair,Home,Chair,779.4
P0106,Treatment Laptop,Electronics,Laptop,3075.81
P0107,Attack Headphones,Electronics,Headphones,3167.34
P0108,Improve T-Shirt,Clothing,T-Shirt,1257.72
P0109,Baby Phone,Electronics,Phone,1133.26
P0110,Cultural Novel,Books,Novel,4591.48
P0111,Teacher Headphones,Electronics,Headphones,2349.98
P0112,Foot Lamp,Home,Lamp,3610.41
P0113,Chance Dictionary,Books,Dictionary,3731.09
P0114,Three Dictionary,Books,Dictionary,1273.84
P0115,Front Lamp,Home,Lamp,1409.26
P0116,Fine Tv,Electronics,TV,1712.45
P0117,Reality Laptop,Electronics,Laptop,1946.02
P0118,Area Jeans,Clothing,Jeans,2067.62
P0119,Final Dictionary,Books,Dictionary,4172.81
P0120,He Novel,Books,Novel,3839.69
P0121,Man Dictionary,Books,Dictionary,1791.21
P0122,Early Dictionary,Books,Dictionary,3686.44
P0123,Night T-Shirt,Clothing,T-Shirt,2207.39
P0124,Say Headphones,Electronics,Headphones,3411.75
P0125,Officer Biography,Books,Biography,4601.73
P0126,Respond Headphones,Electronics,Headphones,3331.85
P0127,Better Headphones,Electronics,Headphones,2335.41
P0128,Phone Tv,Electronics,TV,1097.72
P0129,Necessary Sofa,Home,Sofa,1926.67
P0130,Office Comics,Books,Comics,2378.02
P0131,Management Tv,Electronics,TV,389.66
P0132,Study Phone,Electronics,Phone,1036.84
P0133,Sense Laptop,Electronics,Laptop,2394.13
P0134,They Laptop,Electronics,Laptop,1318.41
P0135,Recognize Chair,Home,Chair,4820.49
P0136,Political Laptop,Electronics,Laptop,585.09
P0137,Out Tv,Electronics,TV,4544.73
P0138,Form Dictionary,Books,Dictionary,1031.73
P0139,Money Shirt,Clothing,Shirt,1542.83
P0140,Environment Phone,Electronics,Phone,2170.47
P0141,Majority Table,Home,Table,1739.09
P0142,Those Dictionary,Books,Dictionary,4805.9
P0143,Yes Biography,Books,Biography,3682.29
P0144,Continue Lamp,Home,Lamp,4137.39
P0145,New Sofa,Home,Sofa,4162.12
P0146,Thought Tv,Electronics,TV,1257.12
P0147,Manager Dictionary,Books,Dictionary,2496.82
P0148,Five Chair,Home,Chair,1806.38
P0149,Ever Sofa,Home,Sofa,3000.97
P0150,Nor Table,Home,Table,995.73
P0151,Try T-Shirt,Clothing,T-Shirt,3802.92
P0152,My Dictionary,Books,Dictionary,135.35
P0153,Staff Chair,Home,Chair,1254.36
P0154,Risk Lamp,Home,Lamp,1751.6
P0155,Future Sofa,Home,Sofa,1391.04
P0156,Onto Chair,Home,Chair,1003.29
P0157,Meet Laptop,Electronics,Laptop,3706.09
P0158,Where Sofa,Home,Sofa,4171.51
P0159,Tend Chair,Home,Chair,1546.22
P0160,This Jacket,Clothing,Jacket,319.9
P0161,Responsibility Chair,Home,Chair,3776.32
P0162,Population Phone,Electronics,Phone,2373.51
P0163,Grow Comics,Books,Comics,304.31
P0164,Language Novel,Books,Novel,2033.5
P0165,Toward Phone,Electronics,Phone,4065.15
P0166,Behind Table,Home,Table,636.34
P0167,Page Biography,Books,Biography,1932.87
P0168,Understand Comics,Books,Comics,4950.65
P0169,Travel Table,Home,Table,3713.44
P0170,Whom Jeans,Clothing,Jeans,451.88
P0171,Goal Jeans,Clothing,Jeans,824.84
P0172,Congress Dictionary,Books,Dictionary,2376.07
P0173,Couple Laptop,Electronics,Laptop,1449.46
P0174,Avoid Novel,Books,Novel,4623.36
P0175,Cost T-Shirt,Clothing,T-Shirt,1162.81
P0176,Part Jacket,Clothing,Jacket,403.48
P0177,Until Jacket,Clothing,Jacket,4129.99
P0178,The Lamp,Home,Lamp,3458.96
P0179,Area Comics,Books,Comics,2494.29
P0180,Born Phone,Electronics,Phone,3685.94
P0181,Which Table,Home,Table,4811.46
P0182,Officer Tv,Electronics,TV,3827.39
P0183,Window T-Shirt,Clothing,T-Shirt,2239.04
P0184,Child Chair,Home,Chair,2207.63
P0185,Cell Novel,Books,Novel,2071.32
P0186,Above Table,Home,Table,1682.53
P0187,Paper Comics,Books,Comics,2032.24
P0188,Performance Headphones,Electronics,Headphones,1299.37
P0189,Anything Headphones,Electronics,Headphones,4133.39
P0190,However Headphones,Electronics,Headphones,978.53
P0191,Night Lamp,Home,Lamp,3811.95
P0192,Threat Jacket,Clothing,Jacket,4641.98
P0193,Suggest Dictionary,Books,Dictionary,4867.08
P0194,Against Jeans,Clothing,Jeans,117.69
P0195,Happy Novel,Books,Novel,4214.96
P0196,Theory Headphones,Electronics,Headphones,3256.16
P0197,Crime T-Shirt,Clothing,T-Shirt,1494.71
P0198,Energy Lamp,Home,Lamp,4902.21
P0199,Where T-Shirt,Clothing,T-Shirt,1948.75
P0200,Scene Shirt,Clothing,Shirt,3960.53
P0201,Matter Comics,Books,Comics,2563.3
P0202,Audience Tv,Electronics,TV,4195.51
P0203,Mean Biography,Books,Biography,2447.49
P0204,Affect Lamp,Home,Lamp,1642.8
P0205,Now Jeans,Clothing,Jeans,1206.13
P0206,Without Novel,Books,Novel,2391.23
P0207,Business Dictionary,Books,Dictionary,3972.35
P0208,Newspaper T-Shirt,Clothing,T-Shirt,674.92
P0209,Line Table,Home,Table,2229.52
P0210,Just Novel,Books,Novel,2079.39
P0211,Bank Shirt,Clothing,Shirt,4847.56
P0212,Language Lamp,Home,Lamp,4266.24
P0213,Any Comics,Books,Comics,4442.82
P0214,New Novel,Books,Novel,1212.11
P0215,Beat Chair,Home,Chair,2198.16
P0216,General Phone,Electronics,Phone,3485.31
P0217,Worker Phone,Electronics,Phone,327.79
P0218,Last Sofa,Home,Sofa,1258.78
P0219,Theory Biography,Books,Biography,440.89
P0220,Commercial Biography,Books,Biography,2936.63
P0221,General T-Shirt,Clothing,T-Shirt,2324.87
P0222,Certain Headphones,Electronics,Headphones,3404.17
P0223,Care Shirt,Clothing,Shirt,1760.55
P0224,Real Lamp,Home,Lamp,2311.34
P0225,These Chair,Home,Chair,4274.01
P0226,Blood Laptop,Electronics,Laptop,1826.85
P0227,Light Sofa,Home,Sofa,4158.69
P0228,Person Comics,Books,Comics,4332.08
