product_id,product_name,category,subcategory,cost_price
P0001,forward Phone,Electronics,Phone,1262.21
P0002,sort Shirt,Clothing,Shirt,4466.29
P0003, PROBABLY HEADPHONES ,Electronics,Headphones,513.79
P0004,some Shirt,Clothing,Shirt,3594.3
P0005,college Biography,Books,Biography,1427.04
P0006,professional Laptop,Electronics,Laptop,1734.24
P0007,least Jeans,Clothing,Jeans,1716.14
P0008, EFFORT HEADPHONES ,Electronics,Headphones,4245.1
P0009,camera Table,Home,Table,2704.33
P0010,cover Novel,Books,Novel,4155.55
P0011,full Chair,Home,Chair,276.83
P0012,perform Jacket,Clothing,Jacket,4283.82
P0013,my Headphones,Electronics,Headphones,3196.64
P0014,she Chair,Home,Chair,1087.06
P0015,class Table,Home,Table,897.14
P0016,health Jeans,Clothing,Jeans,1386.24
P0017,central Jacket,Clothing,Jacket,3891.2
P0018,so Shirt,Clothing,Shirt,2035.77
P0019,smile Laptop,Electronics,Laptop,2857.54
P0020,water Chair,Home,Chair,2008.38
P0021,to Biography,Books,Biography,1270.81
P0022,federal Lamp,Home,Lamp,2027.03
P0023,rule Jeans,Clothing,Jeans,500.0
P0024,same Phone,Electronics,Phone,841.91
P0025,song Novel,Books,Novel,2999.65
P0026,stock Comics,Books,Comics,4310.86
P0027,leave Phone,Electronics,Phone,2708.0
P0028,evening Sofa,Home,Sofa,2202.09
P0029,political Novel,Books,Novel,4385.47
P0030,could Chair,Home,Chair,576.73
P0031,score Chair,Home,Chair,3824.43
P0032,along TV,Electronics,TV,603.75
P0033,everything Sofa,Home,Sofa,1242.31
P0034,design Phone,Electronics,Phone,4089.32
P0035,others Jeans,Clothing,Jeans,4736.9
P0036,establish Jacket,Clothing,Jacket,3052.64
P0037,politics Jeans,Clothing,Jeans,2025.01
P0038,despite Lamp,Home,Lamp,2284.86
P0039, ART JEANS ,Clothing,Jeans,154.12
P0040, UNDER JEANS ,Clothing,Jeans,3553.81
P0041, TRAINING LAPTOP ,Electronics,Laptop,205.49
P0042,run Table,Home,Table,1428.46
P0043,themselves Biography,Books,Biography,3630.6
P0044,better Biography,Books,Biography,4047.11
P0045, WORLD SHIRT ,Clothing,Shirt,2183.7
P0046,as Dictionary,Books,Dictionary,3658.93
P0047,trade Phone,Electronics,Phone,1729.55
P0048,if Laptop,Electronics,Laptop,2704.61
P0049,available T-Shirt,Clothing,T-Shirt,2340.01
P0050,make Headphones,Electronics,Headphones,4287.04
P0051,level Phone,Electronics,Phone,2725.91
P0052,value Phone,Electronics,Phone,4251.04
P0053,car T-Shirt,Clothing,T-Shirt,1108.05
P0054,various Novel,Books,Novel,60.67
P0055,fund Comics,Books,Comics,3936.39
P0056,develop Lamp,Home,Lamp,3666.0
P0057,enjoy Biography,Books,Biography,1127.62
P0058,economy Phone,Electronics,Phone,332.97
P0059, KEEP BIOGRAPHY ,Books,Biography,2563.75
P0060,half Shirt,Clothing,Shirt,3392.3
P0061,recognize T-Shirt,Clothing,T-Shirt,4456.92
P0062,trial Shirt,Clothing,Shirt,2125.16
P0063,poor Sofa,Home,Sofa,3595.15
P0064,itself Jacket,Clothing,Jacket,3374.87
P0065,particular Lamp,Home,Lamp,3771.73
P0066,sense Phone,Electronics,Phone,4992.35
P0067,say Phone,Electronics,Phone,2554.13
P0068,poor Jacket,Clothing,Jacket,4402.39
P0069,conference Sofa,Home,Sofa,4177.04
P0070,house Table,Home,Table,2795.28
P0071,pressure Laptop,Electronics,Laptop,4454.08
P0072,writer Jacket,Clothing,Jacket,1092.62
P0073,city Chair,Home,Chair,4271.92
P0074,same Comics,Books,Comics,4238.21
P0075,study Headphones,Electronics,Headphones,268.23
P0076,include Chair,Home,Chair,1346.68
P0077,gas Dictionary,Books,Dictionary,603.78
P0078,dream Shirt,Clothing,Shirt,2933.42
P0079,light T-Shirt,Clothing,T-Shirt,1575.88
P0080,raise TV,Electronics,TV,1285.17
P0081,teach TV,Electronics,TV,4426.47
P0082,return Biography,Books,Biography,1221.85
P0083,them Jeans,Clothing,Jeans,172.69
P0084,call Lamp,Home,Lamp,4327.12
P0085,record Jacket,Clothing,Jacket,3521.33
P0086,into Novel,Books,Novel,1151.05
P0087,else Comics,Books,Comics,3986.96
P0088, ART JEANS ,Clothing,Jeans,1005.99
P0089,western Sofa,Home,Sofa,4836.1
P0090,social Sofa,Home,Sofa,2028.41
P0091,box Table,Home,Table,4853.48
P0092, YOU JACKET ,Clothing,Jacket,3003.03
P0093,suffer Sofa,Home,Sofa,4921.97
P0094,might Headphones,Electronics,Headphones,990.89
P0095, BUILDING HEADPHONES ,Electronics,Headphones,4631.6
P0096,expert Jacket,Clothing,Jacket,4746.93
P0097,skin Sofa,Home,Sofa,666.9
P0098,tell Sofa,Home,Sofa,1664.61
P0099,face Chair,Home,Chair,3341.4
P0100,matter Biography,Books,Biography,1539.7
P0101,experience TV,Electronics,TV,2177.95
P0102,call Lamp,Home,Lamp,3394.35
P0103,message Biography,Books,Biography,1454.74
P0104,individual Table,Home,Table,3768.13
P0105,glass Chair,Home,Chair,779.4
P0106,treatment Laptop,Electronics,Laptop,3075.81
P0107,attack Headphones,Electronics,Headphones,3167.34
P0108,improve T-Shirt,Clothing,T-Shirt,1257.72
P0109,baby Phone,Electronics,Phone,1133.26
P0110,cultural Novel,Books,Novel,4591.48
P0111,teacher Headphones,Electronics,Headphones,2349.98
P0112,foot Lamp,Home,Lamp,3610.41
P0113,chance Dictionary,Books,Dictionary,3731.09
P0114,three Dictionary,Books,Dictionary,1273.84
P0115,front Lamp,Home,Lamp,1409.26
P0116,fine TV,Electronics,TV,1712.45
P0117,reality Laptop,Electronics,Laptop,1946.02
P0118, AREA JEANS ,Clothing,Jeans,2067.62
P0119, FINAL DICTIONARY ,Books,Dictionary,4172.81
P0120,he Novel,Books,Novel,3839.69
P0121, MAN DICTIONARY ,Books,Dictionary,1791.21
P0122,early Dictionary,Books,Dictionary,3686.44
P0123,night T-Shirt,Clothing,T-Shirt,2207.39
P0124,say Headphones,Electronics,Headphones,3411.75
P0125,officer Biography,Books,Biography,4601.73
P0126,respond Headphones,Electronics,Headphones,3331.85
P0127,better Headphones,Electronics,Headphones,2335.41
P0128,phone TV,Electronics,TV,1097.72
P0129,necessary Sofa,Home,Sofa,1926.67
P0130,office Comics,Books,Comics,2378.02
P0131,management TV,Electronics,TV,389.66
P0132,study Phone,Electronics,Phone,1036.84
P0133,sense Laptop,Electronics,Laptop,2394.13
P0134,they Laptop,Electronics,Laptop,1318.41
P0135,recognize Chair,Home,Chair,4820.49
P0136,political Laptop,Electronics,Laptop,585.09
P0137,out TV,Electronics,TV,4544.73
P0138,form Dictionary,Books,Dictionary,1031.73
P0139,money Shirt,Clothing,Shirt,1542.83
P0140,environment Phone,Electronics,Phone,2170.47
P0141,majority Table,Home,Table,1739.09
P0142,those Dictionary,Books,Dictionary,4805.9
P0143,yes Biography,Books,Biography,3682.29
P0144,continue Lamp,Home,Lamp,4137.39
P0145,new Sofa,Home,Sofa,4162.12
P0146,thought TV,Electronics,TV,1257.12
P0147,manager Dictionary,Books,Dictionary,2496.82
P0148,five Chair,Home,Chair,1806.38
P0149,ever Sofa,Home,Sofa,3000.97
P0150,nor Table,Home,Table,995.73
P0151,try T-Shirt,Clothing,T-Shirt,3802.92
P0152,my Dictionary,Books,Dictionary,135.35
P0153,staff Chair,Home,Chair,1254.36
P0154,risk Lamp,Home,Lamp,1751.6
P0155,future Sofa,Home,Sofa,1391.04
P0156,onto Chair,Home,Chair,1003.29
P0157,meet Laptop,Electronics,Laptop,3706.09
P0158,where Sofa,Home,Sofa,4171.51
P0159,tend Chair,Home,Chair,1546.22
P0160, THIS JACKET ,Clothing,Jacket,319.9
P0161,responsibility Chair,Home,Chair,3776.32
P0162,population Phone,Electronics,Phone,2373.51
P0163,grow Comics,Books,Comics,304.31
P0164,language Novel,Books,Novel,2033.5
P0165,toward Phone,Electronics,Phone,4065.15
P0166,behind Table,Home,Table,636.34
P0167,page Biography,Books,Biography,1932.87
P0168,understand Comics,Books,Comics,4950.65
P0169,travel Table,Home,Table,3713.44
P0170,whom Jeans,Clothing,Jeans,451.88
P0171,goal Jeans,Clothing,Jeans,824.84
P0172,Congress Dictionary,Books,Dictionary,2376.07
P0173,couple Laptop,Electronics,Laptop,1449.46
P0174,avoid Novel,Books,Novel,4623.36
P0175,cost T-Shirt,Clothing,T-Shirt,1162.81
P0176,part Jacket,Clothing,Jacket,403.48
P0177,until Jacket,Clothing,Jacket,4129.99
P0178,the Lamp,Home,Lamp,3458.96
P0179,area Comics,Books,Comics,2494.29
P0180,born Phone,Electronics,Phone,3685.94
P0181, WHICH TABLE ,Home,Table,4811.46
P0182,officer TV,Electronics,TV,3827.39
P0183,window T-Shirt,Clothing,T-Shirt,2239.04
P0184,child Chair,Home,Chair,2207.63
P0185,cell Novel,Books,Novel,2071.32
P0186,above Table,Home,Table,1682.53
P0187,paper Comics,Books,Comics,2032.24
P0188, PERFORMANCE HEADPHONES ,Electronics,Headphones,1299.37
P0189,anything Headphones,Electronics,Headphones,4133.39
P0190,however Headphones,Electronics,Headphones,978.53
P0191,night Lamp,Home,Lamp,3811.95
P0192,threat Jacket,Clothing,Jacket,4641.98
P0193,suggest Dictionary,Books,Dictionary,4867.08
P0194,against Jeans,Clothing,Jeans,117.69
P0195,happy Novel,Books,Novel,4214.96
P0196,theory Headphones,Electronics,Headphones,3256.16
P0197,crime T-Shirt,Clothing,T-Shirt,1494.71
P0198,energy Lamp,Home,Lamp,4902.21
P0199,where T-Shirt,Clothing,T-Shirt,1948.75
P0200,scene Shirt,Clothing,Shirt,3960.53
P0201,matter Comics,Books,Comics,2563.3
P0202,audience TV,Electronics,TV,4195.51
P0203,mean Biography,Books,Biography,2447.49
P0204,affect Lamp,Home,Lamp,1642.8
P0205,now Jeans,Clothing,Jeans,1206.13
P0206,without Novel,Books,Novel,2391.23
P0207,business Dictionary,Books,Dictionary,3972.35
P0208,newspaper T-Shirt,Clothing,T-Shirt,674.92
P0209,line Table,Home,Table,2229.52
P0210,just Novel,Books,Novel,2079.39
P0211,bank Shirt,Clothing,Shirt,4847.56
P0212,language Lamp,Home,Lamp,4266.24
P0213,any Comics,Books,Comics,4442.82
P0214,new Novel,Books,Novel,1212.11
P0215,beat Chair,Home,Chair,2198.16
P0216,general Phone,Electronics,Phone,3485.31
P0217,worker Phone,Electronics,Phone,327.79
P0218,last Sofa,Home,Sofa,1258.78
P0219,theory Biography,Books,Biography,440.89
P0220,commercial Biography,Books,Biography,2936.63
P0221,general T-Shirt,Clothing,T-Shirt,2324.87
P0222,certain Headphones,Electronics,Headphones,3404.17
P0223,care Shirt,Clothing,Shirt,1760.55
P0224,real Lamp,Home,Lamp,2311.34
P0225,these Chair,Home,Chair,4274.01
P0226,blood Laptop,Electronics,Laptop,1826.85
P0227, LIGHT SOFA ,Home,Sofa,4158.69
P0228, PERSON COMICS ,Books,Comics,4332.08
P0229,information Headphones,Electronics,Headphones,4519.53
P0230,particular Jacket,Clothing,Jacket,991.15
P0231,feel Chair,Home,Chair,4521.85
P0232,better TV,Electronics,TV,215.15
